name,address,rating,total_photos,total_ratings,coordinates
Rustle & Still Café,605 Bloor St W,8.8,20.0,31.0,"43.663808,-79.410491"
One Love Vegetarian,854 Bathurst St,8.6,23.0,51.0,"43.663808,-79.410491"
Crafty Coyote,511 Bloor St W,8.2,108.0,35.0,"43.663808,-79.410491"
Rasa,196 Robert St,9.1,81.0,115.0,"43.663808,-79.410491"
Kinka Izakaya Bloor,559 Bloor St W,8.0,448.0,297.0,"43.663808,-79.410491"
Buk Chang Dong Soon Tofu,691 Bloor St W,8.6,134.0,185.0,"43.663808,-79.410491"
Yasu,81 Harbord St,8.6,104.0,61.0,"43.663808,-79.410491"
Fresh on Bloor,326 Bloor St W,8.7,213.0,381.0,"43.663808,-79.410491"
Korean Village Restaurant,628 Bloor St W,7.9,98.0,138.0,"43.663808,-79.410491"
One Love Vegetarian,854 Bathurst St,8.6,23.0,51.0,"43.6666667,-79.41166666666668"
Insomnia Restaurant and Lounge,563 Bloor St W,8.7,292.0,439.0,"43.6666667,-79.41166666666668"
Rustle & Still Café,605 Bloor St W,8.8,20.0,31.0,"43.6666667,-79.41166666666668"
Crafty Coyote,511 Bloor St W,8.2,108.0,35.0,"43.6666667,-79.41166666666668"
Kinka Izakaya Bloor,559 Bloor St W,8.0,448.0,297.0,"43.6666667,-79.41166666666668"
Buk Chang Dong Soon Tofu,691 Bloor St W,8.6,134.0,185.0,"43.6666667,-79.41166666666668"
Rasa,196 Robert St,9.1,81.0,115.0,"43.6666667,-79.41166666666668"
Fresh on Bloor,326 Bloor St W,8.7,213.0,381.0,"43.6666667,-79.41166666666668"
Korean Village Restaurant,628 Bloor St W,7.9,98.0,138.0,"43.6666667,-79.41166666666668"
Lee's Palace,529 Bloor St W,7.7,306.0,226.0,"43.6666667,-79.41166666666668"
Buk Chang Dong Soon Tofu,691 Bloor St W,8.6,134.0,185.0,"43.6638889,-79.41888888888889"
Banjara Indian Cuisine,796 Bloor St W,8.8,70.0,212.0,"43.6638889,-79.41888888888889"
Northwood,815 Bloor St W,8.6,67.0,156.0,"43.6638889,-79.41888888888889"
Rustle & Still Café,605 Bloor St W,8.8,20.0,31.0,"43.6638889,-79.41888888888889"
Insomnia Restaurant and Lounge,563 Bloor St W,8.7,292.0,439.0,"43.6638889,-79.41888888888889"
Bloomer's,873 Bloor St W,8.4,47.0,37.0,"43.6638889,-79.41888888888889"
One Love Vegetarian,854 Bathurst St,8.6,23.0,51.0,"43.6638889,-79.41888888888889"
Bakerbots Baking,205 Delaware Ave,8.9,150.0,166.0,"43.6638889,-79.41888888888889"
Korean Village Restaurant,628 Bloor St W,7.9,98.0,138.0,"43.6638889,-79.41888888888889"
Filosophy Pastry and Espresso Bar,912 Bloor St W,8.2,7.0,14.0,"43.6638889,-79.41888888888889"
Bakerbots Baking,205 Delaware Ave,8.9,150.0,166.0,"43.661705,-79.425734"
Bloomer's,873 Bloor St W,8.4,47.0,37.0,"43.661705,-79.425734"
Filosophy Pastry and Espresso Bar,912 Bloor St W,8.2,7.0,14.0,"43.661705,-79.425734"
Banjara Indian Cuisine,796 Bloor St W,8.8,70.0,212.0,"43.661705,-79.425734"
Northwood,815 Bloor St W,8.6,67.0,156.0,"43.661705,-79.425734"
Comedy Bar,945B Bloor St W,8.1,104.0,132.0,"43.661705,-79.425734"
Saving Gigi,859 Bloor St W,7.9,50.0,76.0,"43.661705,-79.425734"
Madras Masala,796 Bloor St W,8.2,36.0,59.0,"43.661705,-79.425734"
Bar Isabel,797 College St,9.1,231.0,392.0,"43.661705,-79.425734"
Lalibela Ethiopian Restaurant,869 Bloor St W,7.5,47.0,56.0,"43.661705,-79.425734"
Banjara Indian Cuisine,796 Bloor St W,8.8,70.0,212.0,"43.6686111,-79.42027777777778"
Buk Chang Dong Soon Tofu,691 Bloor St W,8.6,134.0,185.0,"43.6686111,-79.42027777777778"
Rustle & Still Café,605 Bloor St W,8.8,20.0,31.0,"43.6686111,-79.42027777777778"
Northwood,815 Bloor St W,8.6,67.0,156.0,"43.6686111,-79.42027777777778"
One Love Vegetarian,854 Bathurst St,8.6,23.0,51.0,"43.6686111,-79.42027777777778"
Insomnia Restaurant and Lounge,563 Bloor St W,8.7,292.0,439.0,"43.6686111,-79.42027777777778"
Bakerbots Baking,205 Delaware Ave,8.9,150.0,166.0,"43.6686111,-79.42027777777778"
Madras Masala,796 Bloor St W,8.2,36.0,59.0,"43.6686111,-79.42027777777778"
Tacos El Asador,690 Bloor St W,8.0,88.0,154.0,"43.6686111,-79.42027777777778"
Bloomer's,873 Bloor St W,8.4,47.0,37.0,"43.6686111,-79.42027777777778"
Bakerbots Baking,205 Delaware Ave,8.9,150.0,166.0,"43.665327,-79.43235"
The Greater Good Bar,229 Geary Ave,9.1,53.0,59.0,"43.665327,-79.43235"
Burdock,1184 Bloor St W,9.1,182.0,95.0,"43.665327,-79.43235"
The 3 Speed,1163 Bloor St W,9.0,110.0,150.0,"43.665327,-79.43235"
Parallel,217 Geary Ave,8.5,19.0,34.0,"43.665327,-79.43235"
Actinolite Restaurant,971 Ossington Ave,8.0,66.0,36.0,"43.665327,-79.43235"
Banjara Indian Cuisine,796 Bloor St W,8.8,70.0,212.0,"43.665327,-79.43235"
Comedy Bar,945B Bloor St W,8.1,104.0,132.0,"43.665327,-79.43235"
Bloomer's,873 Bloor St W,8.4,47.0,37.0,"43.665327,-79.43235"
Filosophy Pastry and Espresso Bar,912 Bloor St W,8.2,7.0,14.0,"43.665327,-79.43235"
Burdock,1184 Bloor St W,9.1,182.0,95.0,"43.657343,-79.43112"
Bakerbots Baking,205 Delaware Ave,8.9,150.0,166.0,"43.657343,-79.43112"
The 3 Speed,1163 Bloor St W,9.0,110.0,150.0,"43.657343,-79.43112"
La Tortilleria,1009 Dufferin St,8.1,20.0,30.0,"43.657343,-79.43112"
The Caledonian,856 College St,8.6,91.0,109.0,"43.657343,-79.43112"
Bar Isabel,797 College St,9.1,231.0,392.0,"43.657343,-79.43112"
Linh Restaurant,1156 College St,8.3,36.0,88.0,"43.657343,-79.43112"
Comedy Bar,945B Bloor St W,8.1,104.0,132.0,"43.657343,-79.43112"
Imanishi Japanese Kitchen,1330 Dundas St W,9.1,27.0,64.0,"43.657343,-79.43112"
Filosophy Pastry and Espresso Bar,912 Bloor St W,8.2,7.0,14.0,"43.657343,-79.43112"
Chubby's Jamaican Kitchen,104 Portland St,8.8,61.0,48.0,"43.645324,-79.40345"
Gusto 101,101 Portland St,8.8,501.0,593.0,"43.645324,-79.40345"
Wilbur Mexicana,552 King St W,9.0,186.0,392.0,"43.645324,-79.40345"
North of Brooklyn Pizzeria,650 1/2 Queen St W,8.7,116.0,128.0,"43.645324,-79.40345"
Forget Me Not Cafe,506 Adelaide St W,8.4,25.0,20.0,"43.645324,-79.40345"
WVRST,609 King St W,8.5,1058.0,742.0,"43.645324,-79.40345"
La Palette,492 Queen St W,8.6,113.0,128.0,"43.645324,-79.40345"
416 Snack Bar,181 Bathurst St,8.3,206.0,264.0,"43.645324,-79.40345"
Sud Forno,716 Queen St W,9.0,204.0,216.0,"43.645324,-79.40345"
The Keg,560 King St W,8.4,63.0,99.0,"43.645324,-79.40345"
Arvo Coffee,17 Gristmill Lane,9.0,59.0,78.0,"43.650256,-79.36163"
Balzac's Coffee Roastery,55 Mill St,8.6,500.0,357.0,"43.650256,-79.36163"
Soma Chocolatemaker,32 Tank House Lane,8.8,318.0,257.0,"43.650256,-79.36163"
Brick Street Bakery,55 Mill St,8.4,78.0,87.0,"43.650256,-79.36163"
Roselle Desserts,362 King St E,8.9,45.0,61.0,"43.650256,-79.36163"
Tandem Coffee,368 King St E,8.8,51.0,75.0,"43.650256,-79.36163"
Cluny Bistro,35 Tank House Lane,8.5,333.0,270.0,"43.650256,-79.36163"
Wildly Delicious,11 Tank House Lane,8.0,42.0,17.0,"43.650256,-79.36163"
El Catrin Destileria,18 Tank House Lane,8.0,705.0,707.0,"43.650256,-79.36163"
Neo Coffee Bar,161 Frederick St,9.0,229.0,213.0,"43.650256,-79.36163"
Foxley,207 Ossington Ave,9.1,41.0,117.0,"43.65111111111111,-79.4213888888889"
Communist's Daughter,1149 Dundas St W,8.6,46.0,88.0,"43.65111111111111,-79.4213888888889"
The Dakota Tavern,249 Ossington Ave,8.5,137.0,113.0,"43.65111111111111,-79.4213888888889"
Get Well,1181 Dundas St W,8.4,172.0,211.0,"43.65111111111111,-79.4213888888889"
La Banane,227 Ossington Ave,8.5,19.0,50.0,"43.65111111111111,-79.4213888888889"
Bar Isabel,797 College St,9.1,231.0,392.0,"43.65111111111111,-79.4213888888889"
Bellwoods Brewery,124 Ossington Ave,9.2,1095.0,639.0,"43.65111111111111,-79.4213888888889"
Imanishi Japanese Kitchen,1330 Dundas St W,9.1,27.0,64.0,"43.65111111111111,-79.4213888888889"
Reposado Bar & Lounge,136 Ossington Ave,8.7,163.0,131.0,"43.65111111111111,-79.4213888888889"
Mamakas Taverna,80 Ossington Ave,9.1,66.0,116.0,"43.65111111111111,-79.4213888888889"
Bar Raval,505 College St,9.0,215.0,348.0,"43.656296,-79.414663"
Bar Isabel,797 College St,9.1,231.0,392.0,"43.656296,-79.414663"
Northern Belle,913 Dundas St W,9.3,44.0,74.0,"43.656296,-79.414663"
Cocktail Bar,923 Dundas St W,9.0,68.0,132.0,"43.656296,-79.414663"
Ramen Isshin,421 College St,9.0,168.0,247.0,"43.656296,-79.414663"
Sneaky Dee's,431 College St,8.6,521.0,606.0,"43.656296,-79.414663"
Trattoria Taverniti,591 College St,7.7,30.0,39.0,"43.656296,-79.414663"
Voodoo Child,388 College St,8.9,118.0,149.0,"43.656296,-79.414663"
The Fourth Man in the Fire,832 Dundas St W,8.4,8.0,8.0,"43.656296,-79.414663"
Banjara Indian Cuisine,796 Bloor St W,8.8,70.0,212.0,"43.656296,-79.414663"
Foxley,207 Ossington Ave,9.1,41.0,117.0,"43.649722,-79.416944"
Northern Belle,913 Dundas St W,9.3,44.0,74.0,"43.649722,-79.416944"
Cocktail Bar,923 Dundas St W,9.0,68.0,132.0,"43.649722,-79.416944"
Bellwoods Brewery,124 Ossington Ave,9.2,1095.0,639.0,"43.649722,-79.416944"
Communist's Daughter,1149 Dundas St W,8.6,46.0,88.0,"43.649722,-79.416944"
Reposado Bar & Lounge,136 Ossington Ave,8.7,163.0,131.0,"43.649722,-79.416944"
La Banane,227 Ossington Ave,8.5,19.0,50.0,"43.649722,-79.416944"
Mamakas Taverna,80 Ossington Ave,9.1,66.0,116.0,"43.649722,-79.416944"
Union Restaurant,72A Ossington Ave,9.1,130.0,248.0,"43.649722,-79.416944"
The Dakota Tavern,249 Ossington Ave,8.5,137.0,113.0,"43.649722,-79.416944"
Northern Belle,913 Dundas St W,9.3,44.0,74.0,"43.651281,-79.411717"
Cocktail Bar,923 Dundas St W,9.0,68.0,132.0,"43.651281,-79.411717"
The Fourth Man in the Fire,832 Dundas St W,8.4,8.0,8.0,"43.651281,-79.411717"
Bar Raval,505 College St,9.0,215.0,348.0,"43.651281,-79.411717"
Patois,794 Dundas St W,8.2,103.0,98.0,"43.651281,-79.411717"
Sud Forno,716 Queen St W,9.0,204.0,216.0,"43.651281,-79.411717"
Ramen Isshin,421 College St,9.0,168.0,247.0,"43.651281,-79.411717"
Nadege,780 Queen St W,8.7,482.0,411.0,"43.651281,-79.411717"
North of Brooklyn Pizzeria,650 1/2 Queen St W,8.7,116.0,128.0,"43.651281,-79.411717"
Bellwoods Brewery,124 Ossington Ave,9.2,1095.0,639.0,"43.651281,-79.411717"
Imanishi Japanese Kitchen,1330 Dundas St W,9.1,27.0,64.0,"43.65277778,-79.42972222"
Linh Restaurant,1156 College St,8.3,36.0,88.0,"43.65277778,-79.42972222"
The Caledonian,856 College St,8.6,91.0,109.0,"43.65277778,-79.42972222"
Black Cat Espresso Bar,1104 College St,7.9,10.0,35.0,"43.65277778,-79.42972222"
Black Dice Cafe,1574 Dundas St W,8.4,42.0,44.0,"43.65277778,-79.42972222"
Bar Isabel,797 College St,9.1,231.0,392.0,"43.65277778,-79.42972222"
Enoteca Sociale,1288 Dundas St W,8.2,120.0,137.0,"43.65277778,-79.42972222"
The Federal,1438 Dundas St W,7.9,68.0,133.0,"43.65277778,-79.42972222"
Foxley,207 Ossington Ave,9.1,41.0,117.0,"43.65277778,-79.42972222"
Le Baratin,1600 Dundas St W,8.2,20.0,20.0,"43.65277778,-79.42972222"
Bar Isabel,797 College St,9.1,231.0,392.0,"43.655,-79.418889"
El Convento Rico,750 College St W,7.8,27.0,40.0,"43.655,-79.418889"
Northern Belle,913 Dundas St W,9.3,44.0,74.0,"43.655,-79.418889"
Cocktail Bar,923 Dundas St W,9.0,68.0,132.0,"43.655,-79.418889"
Foxley,207 Ossington Ave,9.1,41.0,117.0,"43.655,-79.418889"
Bar Raval,505 College St,9.0,215.0,348.0,"43.655,-79.418889"
Communist's Daughter,1149 Dundas St W,8.6,46.0,88.0,"43.655,-79.418889"
The Dakota Tavern,249 Ossington Ave,8.5,137.0,113.0,"43.655,-79.418889"
La Carnita,501 College St,8.8,406.0,420.0,"43.655,-79.418889"
Bellwoods Brewery,124 Ossington Ave,9.2,1095.0,639.0,"43.655,-79.418889"
The Real Jerk Restaurant,842 Gerrard St E,8.3,66.0,84.0,"43.668553,-79.338673"
Pizza Pide,949 Gerrard St E,7.8,27.0,54.0,"43.668553,-79.338673"
Batifole Restaurant,744 Gerrard St E,8.9,23.0,31.0,"43.668553,-79.338673"
Wynona,819 Gerrard St E,8.3,14.0,15.0,"43.668553,-79.338673"
Te Aro,983 Queen St E,8.9,192.0,239.0,"43.668553,-79.338673"
Blondies Pizza,1555 Dundas St E,8.3,13.0,17.0,"43.668553,-79.338673"
Maha's Fine Egyptian Cuisine,226 Greenwood Ave,8.5,134.0,195.0,"43.668553,-79.338673"
Tango Palace Coffee Co,1156 Queen St E,8.1,90.0,118.0,"43.668553,-79.338673"
Radical Road Brewing Co,1177 Queen St E,8.1,83.0,33.0,"43.668553,-79.338673"
Hanoi 3 Seasons,1135 Queen St E,8.0,17.0,37.0,"43.668553,-79.338673"
The Sidekick,1374 Queen St E,8.8,106.0,35.0,"43.663912,-79.327987"
Descendant Detroit Style Pizza,1168 Queen St E,8.7,47.0,109.0,"43.663912,-79.327987"
Blondies Pizza,1555 Dundas St E,8.3,13.0,17.0,"43.663912,-79.327987"
Radical Road Brewing Co,1177 Queen St E,8.1,83.0,33.0,"43.663912,-79.327987"
Rorschach Brewing,1001 Eastern Ave,8.7,157.0,50.0,"43.663912,-79.327987"
Gio Rana's Really Really Nice Restaurant,1220 Queen St E,7.8,48.0,77.0,"43.663912,-79.327987"
Tango Palace Coffee Co,1156 Queen St E,8.1,90.0,118.0,"43.663912,-79.327987"
Te Aro,983 Queen St E,8.9,192.0,239.0,"43.663912,-79.327987"
Ascari Enoteca,1111 Queen St E,8.1,106.0,62.0,"43.663912,-79.327987"
Maha's Fine Egyptian Cuisine,226 Greenwood Ave,8.5,134.0,195.0,"43.663912,-79.327987"
Byblos,11 Duncan St,9.3,163.0,337.0,"43.6462176,-79.3855048"
Pai,18 Duncan St,9.2,515.0,932.0,"43.6462176,-79.3855048"
Cafe Landwer,165 University Ave,8.7,90.0,76.0,"43.6462176,-79.3855048"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,"43.6462176,-79.3855048"
Copacabana Brazilian Steakhouse Adelaide,230 Adelaide St W,8.6,91.0,214.0,"43.6462176,-79.3855048"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,"43.6462176,-79.3855048"
HotBlack Coffee,245 Queen St W,9.0,67.0,169.0,"43.6462176,-79.3855048"
A&W Restaurant,8 Mercer St,8.3,20.0,28.0,"43.6462176,-79.3855048"
Walrus Pub & Beer Hall,187 Bay St,8.7,53.0,54.0,"43.6462176,-79.3855048"
Chotto Matte,161 Bay St,8.8,52.0,22.0,"43.6462176,-79.3855048"
Knuckle Sandwich,969 Coxwell Ave,8.2,12.0,24.0,"43.69595,-79.328535"
Little Coxwell Restaurant,986 Coxwell Ave,7.2,22.0,31.0,"43.69595,-79.328535"
Lickadee Split Ice Cream Shoppe,980 Coxwell Ave,6.8,5.0,14.0,"43.69595,-79.328535"
Pizza Hut,985 Coxwell Ave,6.3,7.0,1.0,"43.69595,-79.328535"
Subway,825 Coxwell Ave,6.4,0.0,2.0,"43.69595,-79.328535"
Sushi Bay,1028 Coxwell Ave,,0.0,0.0,"43.69595,-79.328535"
Skara Greek Cuisine,1050 Coxwell Ave,,0.0,0.0,"43.69595,-79.328535"
Free Topping Pizza,1015 Coxwell Ave,,0.0,0.0,"43.69595,-79.328535"
Eden Chinese Food,1025 Coxwell Ave,,0.0,0.0,"43.69595,-79.328535"
Paul's Spaghetti,488 Cosburn Ave,,0.0,0.0,"43.69595,-79.328535"
Athens Restaurant,707 Danforth Ave,8.5,11.0,17.0,"43.6753188,-79.3462789"
Dolce Gelato,414 Danforth Ave,8.3,123.0,74.0,"43.6753188,-79.3462789"
Messini Authentic Gyros,445 Danforth Ave,8.1,182.0,308.0,"43.6753188,-79.3462789"
Batifole Restaurant,744 Gerrard St E,8.9,23.0,31.0,"43.6753188,-79.3462789"
Auld Spot Pub,347 Danforth Ave,8.0,47.0,84.0,"43.6753188,-79.3462789"
Rooster Coffee House,479 Broad View Ave,8.4,201.0,241.0,"43.6753188,-79.3462789"
The Only Cafe,972 Danforth Ave,8.3,571.0,146.0,"43.6753188,-79.3462789"
The Real Jerk Restaurant,842 Gerrard St E,8.3,66.0,84.0,"43.6753188,-79.3462789"
Wynona,819 Gerrard St E,8.3,14.0,15.0,"43.6753188,-79.3462789"
Momo Hut & Gardens,401 Danforth Ave,7.7,28.0,9.0,"43.6753188,-79.3462789"
Batifole Restaurant,744 Gerrard St E,8.9,23.0,31.0,"43.6720273,-79.3470557"
Rooster Coffee House,479 Broad View Ave,8.4,201.0,241.0,"43.6720273,-79.3470557"
Wynona,819 Gerrard St E,8.3,14.0,15.0,"43.6720273,-79.3470557"
The Real Jerk Restaurant,842 Gerrard St E,8.3,66.0,84.0,"43.6720273,-79.3470557"
Dolce Gelato,414 Danforth Ave,8.3,123.0,74.0,"43.6720273,-79.3470557"
Athens Restaurant,707 Danforth Ave,8.5,11.0,17.0,"43.6720273,-79.3470557"
Messini Authentic Gyros,445 Danforth Ave,8.1,182.0,308.0,"43.6720273,-79.3470557"
Auld Spot Pub,347 Danforth Ave,8.0,47.0,84.0,"43.6720273,-79.3470557"
Pizza Pide,949 Gerrard St E,7.8,27.0,54.0,"43.6720273,-79.3470557"
Momo Hut & Gardens,401 Danforth Ave,7.7,28.0,9.0,"43.6720273,-79.3470557"
Louie - Craft Coffee,1187 King St W,8.4,36.0,71.0,"43.637981,-79.424146"
Otto's Bierhalle,1087 Queen St W,9.1,78.0,101.0,"43.637981,-79.424146"
Cafe Neon,1024 Queen St W,9.0,29.0,63.0,"43.637981,-79.424146"
Hello 123,1122 Queen St W,8.4,25.0,36.0,"43.637981,-79.424146"
Liberty Village Rotisserie & Grill,139G Jefferson Ave,7.7,11.0,16.0,"43.637981,-79.424146"
Bar Fancy,1070 Queen St E,8.4,33.0,86.0,"43.637981,-79.424146"
Mamakas Taverna,80 Ossington Ave,9.1,66.0,116.0,"43.637981,-79.424146"
Union Restaurant,72A Ossington Ave,9.1,130.0,248.0,"43.637981,-79.424146"
Bar Piquette,1084 Queen St W,8.3,8.0,8.0,"43.637981,-79.424146"
Local Liberty Village,171 E Liberty St,7.9,112.0,181.0,"43.637981,-79.424146"
Cafe Neon,1024 Queen St W,9.0,29.0,63.0,"43.640885,-79.416379"
Ono Poke Bar,100 Western Battery Rd,8.2,4.0,17.0,"43.640885,-79.416379"
Otto's Bierhalle,1087 Queen St W,9.1,78.0,101.0,"43.640885,-79.416379"
Oyster Boy,872 Queen St W,8.8,109.0,118.0,"43.640885,-79.416379"
Union Restaurant,72A Ossington Ave,9.1,130.0,248.0,"43.640885,-79.416379"
Mamakas Taverna,80 Ossington Ave,9.1,66.0,116.0,"43.640885,-79.416379"
Pennies,127 Strachan Ave,8.3,5.0,16.0,"43.640885,-79.416379"
Bang Bang Ice Cream & Bakery,93 1/2 Ossington Ave,8.9,309.0,366.0,"43.640885,-79.416379"
Fresh on Crawford,894 Queen St W,8.3,177.0,252.0,"43.640885,-79.416379"
Bellwoods Brewery,124 Ossington Ave,9.2,1095.0,639.0,"43.640885,-79.416379"
Figs Breakfast & Lunch,344 Queen St E,8.2,42.0,82.0,"43.6552778,-79.36583333333333"
Roselle Desserts,362 King St E,8.9,45.0,61.0,"43.6552778,-79.36583333333333"
Tandem Coffee,368 King St E,8.8,51.0,75.0,"43.6552778,-79.36583333333333"
Fusaro's,294 Richmond St E,8.6,46.0,74.0,"43.6552778,-79.36583333333333"
Neo Coffee Bar,161 Frederick St,9.0,229.0,213.0,"43.6552778,-79.36583333333333"
The George Street Diner,129 George St,8.7,168.0,173.0,"43.6552778,-79.36583333333333"
The Black Canary Espresso Bar,61 Sherbourne St,8.4,63.0,109.0,"43.6552778,-79.36583333333333"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,"43.6552778,-79.36583333333333"
Mystic Muffin,113 Jarvis St,8.8,39.0,52.0,"43.6552778,-79.36583333333333"
Arvo Coffee,17 Gristmill Lane,9.0,59.0,78.0,"43.6552778,-79.36583333333333"
Maison Selby,592 Sherbourne St,7.9,22.0,20.0,"43.6712581,-79.376367"
The Keg Steakhouse & Bar,515 Jarvis St,8.9,249.0,308.0,"43.6712581,-79.376367"
Storm Crow Manor,580 Church St,9.0,85.0,48.0,"43.6712581,-79.376367"
Piedmont Coffee Bar,66 Isabella St,8.2,12.0,12.0,"43.6712581,-79.376367"
Zakkushi,193 Carlton St,8.8,234.0,165.0,"43.6712581,-79.376367"
Church Street Espresso,585 Church St,7.9,11.0,40.0,"43.6712581,-79.376367"
Tokyo Kitchen,20 Charles St E,8.2,37.0,39.0,"43.6712581,-79.376367"
Hair of the Dog,425 Church St,8.5,257.0,271.0,"43.6712581,-79.376367"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,"43.6712581,-79.376367"
Woody's,467 Church St,8.1,311.0,263.0,"43.6712581,-79.376367"
House on Parliament,454 Parliament St,8.9,220.0,279.0,"43.664524,-79.36793"
Zakkushi,193 Carlton St,8.8,234.0,165.0,"43.664524,-79.36793"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,"43.664524,-79.36793"
The Keg Steakhouse & Bar,515 Jarvis St,8.9,249.0,308.0,"43.664524,-79.36793"
Le Beau,665 Dundas St E,8.6,24.0,13.0,"43.664524,-79.36793"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,"43.664524,-79.36793"
Sumach Espresso,118 Sumach St,8.6,20.0,26.0,"43.664524,-79.36793"
Golden Greek,105 Carlton St,8.3,31.0,55.0,"43.664524,-79.36793"
Hair of the Dog,425 Church St,8.5,257.0,271.0,"43.664524,-79.36793"
The Local Gest,424 Parliament St,7.4,17.0,15.0,"43.664524,-79.36793"
House on Parliament,454 Parliament St,8.9,220.0,279.0,"43.665867,-79.362506"
Le Beau,665 Dundas St E,8.6,24.0,13.0,"43.665867,-79.362506"
Zakkushi,193 Carlton St,8.8,234.0,165.0,"43.665867,-79.362506"
Sumach Espresso,118 Sumach St,8.6,20.0,26.0,"43.665867,-79.362506"
Rooster Coffee House,479 Broad View Ave,8.4,201.0,241.0,"43.665867,-79.362506"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,"43.665867,-79.362506"
Pho House,610 Gerrard St E,8.4,27.0,28.0,"43.665867,-79.362506"
Daniels Spectrum,585 Dundas St E,7.8,119.0,55.0,"43.665867,-79.362506"
The Local Gest,424 Parliament St,7.4,17.0,15.0,"43.665867,-79.362506"
Lady Marmalade,265 Broadview Ave,7.7,25.0,38.0,"43.665867,-79.362506"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,"43.648575,-79.380042"
Walrus Pub & Beer Hall,187 Bay St,8.7,53.0,54.0,"43.648575,-79.380042"
Cactus Club Cafe,77 Adelaide St W,8.5,178.0,283.0,"43.648575,-79.380042"
Chotto Matte,161 Bay St,8.8,52.0,22.0,"43.648575,-79.380042"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,"43.648575,-79.380042"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,"43.648575,-79.380042"
King Taps,100 King St W,8.2,121.0,90.0,"43.648575,-79.380042"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,"43.648575,-79.380042"
CRAFT Beer Market Toronto,1 Adelaide St E,8.3,298.0,118.0,"43.648575,-79.380042"
Cafe Landwer,165 University Ave,8.7,90.0,76.0,"43.648575,-79.380042"
SOMA chocolatemaker,443 King St W,9.3,254.0,312.0,"43.643473,-79.390477"
Bar Hop,391 King St W,8.6,1135.0,461.0,"43.643473,-79.390477"
Byblos,11 Duncan St,9.3,163.0,337.0,"43.643473,-79.390477"
Pai,18 Duncan St,9.2,515.0,932.0,"43.643473,-79.390477"
A&W Restaurant,8 Mercer St,8.3,20.0,28.0,"43.643473,-79.390477"
Le Select Bistro,432 Wellington St W,8.8,265.0,339.0,"43.643473,-79.390477"
360 Restaurant,301 Front St W,8.1,962.0,452.0,"43.643473,-79.390477"
RaviSoups,322 Adelaide St W,8.3,111.0,229.0,"43.643473,-79.390477"
The Rec Room,255 Bremner Blvd,8.2,122.0,162.0,"43.643473,-79.390477"
Copacabana Brazilian Steakhouse Adelaide,230 Adelaide St W,8.6,91.0,214.0,"43.643473,-79.390477"
Byblos,11 Duncan St,9.3,163.0,337.0,"43.645859,-79.38783"
Pai,18 Duncan St,9.2,515.0,932.0,"43.645859,-79.38783"
A&W Restaurant,8 Mercer St,8.3,20.0,28.0,"43.645859,-79.38783"
Copacabana Brazilian Steakhouse Adelaide,230 Adelaide St W,8.6,91.0,214.0,"43.645859,-79.38783"
Cafe Landwer,165 University Ave,8.7,90.0,76.0,"43.645859,-79.38783"
HotBlack Coffee,245 Queen St W,9.0,67.0,169.0,"43.645859,-79.38783"
La Carnita,106 John St,8.1,104.0,192.0,"43.645859,-79.38783"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,"43.645859,-79.38783"
RaviSoups,322 Adelaide St W,8.3,111.0,229.0,"43.645859,-79.38783"
Bar Hop,391 King St W,8.6,1135.0,461.0,"43.645859,-79.38783"
House on Parliament,454 Parliament St,8.9,220.0,279.0,"43.662132,-79.3656796"
Zakkushi,193 Carlton St,8.8,234.0,165.0,"43.662132,-79.3656796"
Le Beau,665 Dundas St E,8.6,24.0,13.0,"43.662132,-79.3656796"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,"43.662132,-79.3656796"
Sumach Espresso,118 Sumach St,8.6,20.0,26.0,"43.662132,-79.3656796"
Page One Cafe,106 Mutual St,8.9,70.0,88.0,"43.662132,-79.3656796"
Impact Kitchen,573 King St E,8.7,34.0,64.0,"43.662132,-79.3656796"
Figs Breakfast & Lunch,344 Queen St E,8.2,42.0,82.0,"43.662132,-79.3656796"
Tandem Coffee,368 King St E,8.8,51.0,75.0,"43.662132,-79.3656796"
The Local Gest,424 Parliament St,7.4,17.0,15.0,"43.662132,-79.3656796"
SOMA chocolatemaker,443 King St W,9.3,254.0,312.0,"43.640722,-79.391051"
Le Select Bistro,432 Wellington St W,8.8,265.0,339.0,"43.640722,-79.391051"
The Rec Room,255 Bremner Blvd,8.2,122.0,162.0,"43.640722,-79.391051"
Rodney's Oyster House,469 King St W,9.0,297.0,261.0,"43.640722,-79.391051"
Bar Hop,391 King St W,8.6,1135.0,461.0,"43.640722,-79.391051"
