name,address,rating,total_photos,total_ratings,coordinates
Buk Chang Dong Soon Tofu,691 Bloor St W,8.6,134.0,185.0,"43.664467,-79.414783"
Insomnia Restaurant and Lounge,563 Bloor St W,8.7,292.0,439.0,"43.664467,-79.414783"
Korean Village Restaurant,628 Bloor St W,7.9,98.0,138.0,"43.664467,-79.414783"
One Love Vegetarian,854 Bathurst St,8.6,23.0,51.0,"43.664467,-79.414783"
Banjara Indian Cuisine,796 Bloor St W,8.8,70.0,212.0,"43.664467,-79.414783"
Northwood,815 Bloor St W,8.6,67.0,156.0,"43.664467,-79.414783"
Kinka Izakaya Bloor,559 Bloor St W,8.0,448.0,297.0,"43.664467,-79.414783"
Crafty Coyote,511 Bloor St W,8.2,108.0,35.0,"43.664467,-79.414783"
Rasa,196 Robert St,9.1,81.0,115.0,"43.664467,-79.414783"
Black Camel,4 Crescent Rd,9.0,86.0,255.0,"43.675492,-79.388858"
The Rebel House,1068 Yonge St,8.1,56.0,107.0,"43.675492,-79.388858"
Trattoria Nervosa,75 Yorkville Ave,8.7,199.0,303.0,"43.675492,-79.388858"
Joso's,202 Davenport Rd,8.8,32.0,49.0,"43.675492,-79.388858"
Yamato Japanese Restaurant,18 Bellefair Ave,8.6,100.0,101.0,"43.675492,-79.388858"
Terroni,1095 Yonge St,8.5,121.0,231.0,"43.675492,-79.388858"
Summer's Sweet Memories Inc,101 Yorkville Ave,8.6,77.0,140.0,"43.675492,-79.388858"
Boxcar Social,1208 Yonge St,8.9,129.0,189.0,"43.675492,-79.388858"
Dbar,60 Yorkville Ave,8.1,104.0,103.0,"43.675492,-79.388858"
Café Boulud,60 Yorkville Ave,8.1,220.0,159.0,"43.675492,-79.388858"
Joso's,202 Davenport Rd,8.8,32.0,49.0,"43.674991,-79.396273"
5 Elements Espresso,131 Ave Rd,8.0,17.0,31.0,"43.674991,-79.396273"
Playa Cabana,111 Dupont St,8.5,120.0,212.0,"43.674991,-79.396273"
Black Camel,4 Crescent Rd,9.0,86.0,255.0,"43.674991,-79.396273"
Summer's Sweet Memories Inc,101 Yorkville Ave,8.6,77.0,140.0,"43.674991,-79.396273"
Trattoria Nervosa,75 Yorkville Ave,8.7,199.0,303.0,"43.674991,-79.396273"
Koerner Hall,273 Bloor St W,9.2,125.0,81.0,"43.674991,-79.396273"
Yamato Japanese Restaurant,18 Bellefair Ave,8.6,100.0,101.0,"43.674991,-79.396273"
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Pl,8.7,92.0,108.0,"43.674991,-79.396273"
Boxcar Social,1208 Yonge St,8.9,129.0,189.0,"43.674991,-79.396273"
Trattoria Nervosa,75 Yorkville Ave,8.7,199.0,303.0,"43.671944,-79.387778"
Yamato Japanese Restaurant,18 Bellefair Ave,8.6,100.0,101.0,"43.671944,-79.387778"
Eataly,55 Bloor St W,8.4,141.0,48.0,"43.671944,-79.387778"
Dbar,60 Yorkville Ave,8.1,104.0,103.0,"43.671944,-79.387778"
Planta,1221 Bay St,8.2,85.0,132.0,"43.671944,-79.387778"
Summer's Sweet Memories Inc,101 Yorkville Ave,8.6,77.0,140.0,"43.671944,-79.387778"
Café Boulud,60 Yorkville Ave,8.1,220.0,159.0,"43.671944,-79.387778"
Pusateri's,57 Yorkville Ave,8.1,95.0,188.0,"43.671944,-79.387778"
Black Camel,4 Crescent Rd,9.0,86.0,255.0,"43.671944,-79.387778"
Tokyo Kitchen,20 Charles St E,8.2,37.0,39.0,"43.671944,-79.387778"
White Lily Diner,678 Queen St E,9.0,27.0,49.0,"43.662365,-79.351104"
Boxcar Social,4 Boulton Ave,8.9,81.0,119.0,"43.662365,-79.351104"
Pho House,610 Gerrard St E,8.4,27.0,28.0,"43.662365,-79.351104"
Tabule,810 Queen St E,8.6,72.0,128.0,"43.662365,-79.351104"
Batifole Restaurant,744 Gerrard St E,8.9,23.0,31.0,"43.662365,-79.351104"
La Carnita,780 Queen St E,8.5,46.0,83.0,"43.662365,-79.351104"
Dark Horse Espresso Bar,630 Queen St E,8.4,46.0,57.0,"43.662365,-79.351104"
Lady Marmalade,265 Broadview Ave,7.7,25.0,38.0,"43.662365,-79.351104"
Le Beau,665 Dundas St E,8.6,24.0,13.0,"43.662365,-79.351104"
Eastbound Brewing Co,700 Queen St E,7.9,87.0,31.0,"43.662365,-79.351104"
Chotto Matte,161 Bay St,8.8,52.0,22.0,"43.646144,-79.377962"
Walrus Pub & Beer Hall,187 Bay St,8.7,53.0,54.0,"43.646144,-79.377962"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,"43.646144,-79.377962"
The Keg Steakhouse + Bar,26 the Esplanade,8.7,133.0,183.0,"43.646144,-79.377962"
Sukho Thai,52 Wellington St E,8.7,193.0,312.0,"43.646144,-79.377962"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,"43.646144,-79.377962"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,"43.646144,-79.377962"
Cactus Club Cafe,77 Adelaide St W,8.5,178.0,283.0,"43.646144,-79.377962"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,"43.646144,-79.377962"
C'est What,67 Front St E,8.3,1182.0,456.0,"43.646144,-79.377962"
Le Beau,665 Dundas St E,8.6,24.0,13.0,"43.663993,-79.358534"
House on Parliament,454 Parliament St,8.9,220.0,279.0,"43.663993,-79.358534"
Sumach Espresso,118 Sumach St,8.6,20.0,26.0,"43.663993,-79.358534"
Pho House,610 Gerrard St E,8.4,27.0,28.0,"43.663993,-79.358534"
White Lily Diner,678 Queen St E,9.0,27.0,49.0,"43.663993,-79.358534"
Rooster Coffee House,479 Broad View Ave,8.4,201.0,241.0,"43.663993,-79.358534"
Impact Kitchen,573 King St E,8.7,34.0,64.0,"43.663993,-79.358534"
Batifole Restaurant,744 Gerrard St E,8.9,23.0,31.0,"43.663993,-79.358534"
Dark Horse Espresso Bar,630 Queen St E,8.4,46.0,57.0,"43.663993,-79.358534"
Zakkushi,193 Carlton St,8.8,234.0,165.0,"43.663993,-79.358534"
Jazz Bistro,251 Victoria St,8.5,64.0,36.0,"43.657266,-79.374756"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,"43.657266,-79.374756"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,"43.657266,-79.374756"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,"43.657266,-79.374756"
The George Street Diner,129 George St,8.7,168.0,173.0,"43.657266,-79.374756"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.657266,-79.374756"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,"43.657266,-79.374756"
Kyoto Katsugyu,134 Dundas St E,7.7,24.0,10.0,"43.657266,-79.374756"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,"43.657266,-79.374756"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,"43.657266,-79.374756"
Batifole Restaurant,744 Gerrard St E,8.9,23.0,31.0,"43.6672144,-79.3452697"
Wynona,819 Gerrard St E,8.3,14.0,15.0,"43.6672144,-79.3452697"
The Real Jerk Restaurant,842 Gerrard St E,8.3,66.0,84.0,"43.6672144,-79.3452697"
Pho House,610 Gerrard St E,8.4,27.0,28.0,"43.6672144,-79.3452697"
Boxcar Social,4 Boulton Ave,8.9,81.0,119.0,"43.6672144,-79.3452697"
Te Aro,983 Queen St E,8.9,192.0,239.0,"43.6672144,-79.3452697"
Rooster Coffee House,479 Broad View Ave,8.4,201.0,241.0,"43.6672144,-79.3452697"
Tabule,810 Queen St E,8.6,72.0,128.0,"43.6672144,-79.3452697"
Pizza Pide,949 Gerrard St E,7.8,27.0,54.0,"43.6672144,-79.3452697"
La Carnita,780 Queen St E,8.5,46.0,83.0,"43.6672144,-79.3452697"
Marcello's Pizzeria,1163 Saint Clair Ave W,8.9,24.0,55.0,"43.673939,-79.441159"
The Greater Good Bar,229 Geary Ave,9.1,53.0,59.0,"43.673939,-79.441159"
Desotos,1079 Saint Clair Ave W,8.6,35.0,51.0,"43.673939,-79.441159"
Parallel,217 Geary Ave,8.5,19.0,34.0,"43.673939,-79.441159"
The Sovereign,1359 Davenport Rd,7.6,14.0,22.0,"43.673939,-79.441159"
Pizza e Pazzi,1182 Saint Clair Ave W,8.1,37.0,60.0,"43.673939,-79.441159"
Rio 40 Restaurant,1256 Saint Clair Ave W,8.1,105.0,106.0,"43.673939,-79.441159"
California Sushi,1238 Saint Clair Ave W,7.8,28.0,46.0,"43.673939,-79.441159"
Boom Breakfast & Co,1036 Saint Clair Ave W,7.7,57.0,71.0,"43.673939,-79.441159"
La Paloma Gelateria & Cafe,1357 Saint Clair Ave W,8.0,43.0,59.0,"43.673939,-79.441159"
Te Aro,983 Queen St E,8.9,192.0,239.0,"43.657991,-79.340075"
Boxcar Social,4 Boulton Ave,8.9,81.0,119.0,"43.657991,-79.340075"
Tabule,810 Queen St E,8.6,72.0,128.0,"43.657991,-79.340075"
District 28 Bar Bistro,28 Logan Ave,8.1,22.0,8.0,"43.657991,-79.340075"
La Carnita,780 Queen St E,8.5,46.0,83.0,"43.657991,-79.340075"
Reliable Halibut & Chips,954 Queen St E,7.9,22.0,14.0,"43.657991,-79.340075"
Purple Penguin Cafe,889 Queen St E,7.8,20.0,28.0,"43.657991,-79.340075"
White Lily Diner,678 Queen St E,9.0,27.0,49.0,"43.657991,-79.340075"
Bonjour Brioche,812 Queen St E,8.0,173.0,224.0,"43.657991,-79.340075"
Tango Palace Coffee Co,1156 Queen St E,8.1,90.0,118.0,"43.657991,-79.340075"
Blondies Pizza,1555 Dundas St E,8.3,13.0,17.0,"43.66745,-79.329408"
The Sidekick,1374 Queen St E,8.8,106.0,35.0,"43.66745,-79.329408"
Maha's Fine Egyptian Cuisine,226 Greenwood Ave,8.5,134.0,195.0,"43.66745,-79.329408"
Lake Inez,1471 Gerrard St E,8.9,31.0,43.0,"43.66745,-79.329408"
Rorschach Brewing,1001 Eastern Ave,8.7,157.0,50.0,"43.66745,-79.329408"
Radical Road Brewing Co,1177 Queen St E,8.1,83.0,33.0,"43.66745,-79.329408"
Udupi Palace,1460 Gerrard St E,8.6,65.0,107.0,"43.66745,-79.329408"
Te Aro,983 Queen St E,8.9,192.0,239.0,"43.66745,-79.329408"
Tango Palace Coffee Co,1156 Queen St E,8.1,90.0,118.0,"43.66745,-79.329408"
Lahore Tikka House,1365 Gerrard St E,8.0,206.0,282.0,"43.66745,-79.329408"
The Real Jerk Restaurant,842 Gerrard St E,8.3,66.0,84.0,"43.672453,-79.338259"
Batifole Restaurant,744 Gerrard St E,8.9,23.0,31.0,"43.672453,-79.338259"
Maha's Fine Egyptian Cuisine,226 Greenwood Ave,8.5,134.0,195.0,"43.672453,-79.338259"
Athens Restaurant,707 Danforth Ave,8.5,11.0,17.0,"43.672453,-79.338259"
Wynona,819 Gerrard St E,8.3,14.0,15.0,"43.672453,-79.338259"
Pizza Pide,949 Gerrard St E,7.8,27.0,54.0,"43.672453,-79.338259"
The Only Cafe,972 Danforth Ave,8.3,571.0,146.0,"43.672453,-79.338259"
Blondies Pizza,1555 Dundas St E,8.3,13.0,17.0,"43.672453,-79.338259"
Von Doughnuts,713 Danforth Ave,7.6,39.0,34.0,"43.672453,-79.338259"
Chula Taberna Mexicana,1058 Gerrard St E,7.0,33.0,30.0,"43.672453,-79.338259"
Te Aro,983 Queen St E,8.9,192.0,239.0,"43.6592088,-79.3348396"
Ascari Enoteca,1111 Queen St E,8.1,106.0,62.0,"43.6592088,-79.3348396"
Tango Palace Coffee Co,1156 Queen St E,8.1,90.0,118.0,"43.6592088,-79.3348396"
Radical Road Brewing Co,1177 Queen St E,8.1,83.0,33.0,"43.6592088,-79.3348396"
Hanoi 3 Seasons,1135 Queen St E,8.0,17.0,37.0,"43.6592088,-79.3348396"
Boxcar Social,4 Boulton Ave,8.9,81.0,119.0,"43.6592088,-79.3348396"
