name,address,yelp_rating,yelp_total_ratings,coordinates
Maha's,226 Greenwood Avenue,4.0,572.0,"43.665269,-79.319796"
The Burger's Priest,1636 Queen Street E,3.5,503.0,"43.665269,-79.319796"
Chino Locos Original,4 Greenwood Avenue,4.0,190.0,"43.665269,-79.319796"
Lahore Tikka House,1365 Gerrard Street E,3.5,542.0,"43.665269,-79.319796"
Gio Rana's Really Really Nice Restaurant,1220 Queen Street East,4.0,228.0,"43.665269,-79.319796"
Lake Inez,1471 Gerrard Street E,4.5,92.0,"43.665269,-79.319796"
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,149.0,"43.665269,-79.319796"
Udupi Palace,1460 Gerrard Street E,3.5,206.0,"43.665269,-79.319796"
The Sidekick,1374 Queen Street E,4.5,31.0,"43.665269,-79.319796"
Chick-N-Joy,1483 Queen Street E,4.0,55.0,"43.665269,-79.319796"
Hastings Snack Bar,5 Hastings Avenue,4.5,41.0,"43.665269,-79.319796"
Casa Di Giorgios,1646 Queen St E,4.0,73.0,"43.665269,-79.319796"
Tea N Bannock,1294 Gerrard Street E,4.5,44.0,"43.665269,-79.319796"
British Style Fish & Chips,73 Coxwell Avenue,4.0,51.0,"43.665269,-79.319796"
O Sushi,6 Coxwell Avenue,4.0,57.0,"43.665269,-79.319796"
Regency Restaurant,1423 Gerrard Street E,4.0,77.0,"43.665269,-79.319796"
Yaya Greek Bistro,1186 Queen Street E,4.0,82.0,"43.665269,-79.319796"
Motimahal,1422 Gerrard St E,3.5,107.0,"43.665269,-79.319796"
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65.0,"43.665269,-79.319796"
Leslie Jones,1182 Queen Street E,4.0,75.0,"43.665269,-79.319796"
Agio,1351 St Clair Avenue W,4.5,187.0,"43.67142,-79.445947"
Tre Mari Bakery,1311 Saint Clair Avenue W,4.5,92.0,"43.67142,-79.445947"
Famiglia Baldassarre,122 Geary Avenue,4.5,67.0,"43.67142,-79.445947"
Rush Hour,1438A Dufferin Street,4.5,46.0,"43.67142,-79.445947"
Parallel,217 Geary Avenue,4.0,91.0,"43.67142,-79.445947"
The Sovereign,1359 Davenport Road,4.5,35.0,"43.67142,-79.445947"
Khmer Thai Restaurant,1018 St Clair Avenue W,4.0,138.0,"43.67142,-79.445947"
Good Behaviour,342 Westmoreland Avenue N,4.5,45.0,"43.67142,-79.445947"
CANO Restaurant,1108 St Clair Avenue W,4.5,64.0,"43.67142,-79.445947"
Wallace Espresso,188 Wallace Avenue,4.5,45.0,"43.67142,-79.445947"
King's Tacos,1190 St Clair Avenue W,4.0,79.0,"43.67142,-79.445947"
Rio 40 Restaurant,1256 Saint Clair Avenue West,4.0,63.0,"43.67142,-79.445947"
Tuckshop Kitchen,1640 Dupont Street,4.5,56.0,"43.67142,-79.445947"
Itacate,998 St. Clair Avenue W,4.5,56.0,"43.67142,-79.445947"
Marcello’s pizzeria,1163 Saint Clair Avenue W,4.0,97.0,"43.67142,-79.445947"
Barista & Chef,1006 Saint Clair Avenue W,4.5,53.0,"43.67142,-79.445947"
Koji Japanese Restaurant,1553 Dupont Street,4.5,38.0,"43.67142,-79.445947"
Sushi California,1238 Saint Clair Avenue W,3.5,98.0,"43.67142,-79.445947"
Pizza e Pazzi,1182 St Clair Avenue W,4.0,87.0,"43.67142,-79.445947"
Love Chix,33 Powerhouse Street,3.5,46.0,"43.67142,-79.445947"
The Burger's Priest,1636 Queen Street E,3.5,503.0,"43.666224,-79.317693"
Maha's,226 Greenwood Avenue,4.0,572.0,"43.666224,-79.317693"
Lahore Tikka House,1365 Gerrard Street E,3.5,542.0,"43.666224,-79.317693"
Chino Locos Original,4 Greenwood Avenue,4.0,190.0,"43.666224,-79.317693"
Lake Inez,1471 Gerrard Street E,4.5,92.0,"43.666224,-79.317693"
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,149.0,"43.666224,-79.317693"
Udupi Palace,1460 Gerrard Street E,3.5,206.0,"43.666224,-79.317693"
Casa Di Giorgios,1646 Queen St E,4.0,73.0,"43.666224,-79.317693"
O Sushi,6 Coxwell Avenue,4.0,57.0,"43.666224,-79.317693"
British Style Fish & Chips,73 Coxwell Avenue,4.0,51.0,"43.666224,-79.317693"
The Sidekick,1374 Queen Street E,4.5,31.0,"43.666224,-79.317693"
Chick-N-Joy,1483 Queen Street E,4.0,55.0,"43.666224,-79.317693"
Regency Restaurant,1423 Gerrard Street E,4.0,77.0,"43.666224,-79.317693"
Tea N Bannock,1294 Gerrard Street E,4.5,44.0,"43.666224,-79.317693"
Hastings Snack Bar,5 Hastings Avenue,4.5,41.0,"43.666224,-79.317693"
Motimahal,1422 Gerrard St E,3.5,107.0,"43.666224,-79.317693"
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65.0,"43.666224,-79.317693"
Toto Sushi,1455 Gerrard Street E,4.5,29.0,"43.666224,-79.317693"
Jaclyn's,1588 Queen Street E,4.5,14.0,"43.666224,-79.317693"
Burrito Bandidos,1614 Queen Street E,3.5,57.0,"43.666224,-79.317693"
Richmond Station,1 Richmond Street W,4.5,866.0,"43.653236,-79.376716"
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3338.0,"43.653236,-79.376716"
Pearl Diver,100 Adelaide Street E,4.0,619.0,"43.653236,-79.376716"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.653236,-79.376716"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.653236,-79.376716"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.653236,-79.376716"
Eggspectation,483 Bay Street,4.0,750.0,"43.653236,-79.376716"
Mystic Muffin,113 Jarvis Street,4.5,290.0,"43.653236,-79.376716"
George Restaurant,111 Queen Street E,4.5,292.0,"43.653236,-79.376716"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.653236,-79.376716"
Beerbistro,18 King Street E,4.0,679.0,"43.653236,-79.376716"
The Carbon Bar,99 Queen Street East,4.0,407.0,"43.653236,-79.376716"
Byblos,11 Duncan Street,4.5,890.0,"43.653236,-79.376716"
The Senator,249 Victoria Street,4.0,489.0,"43.653236,-79.376716"
Canoe,66 Wellington Street  W,4.0,734.0,"43.653236,-79.376716"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.653236,-79.376716"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.653236,-79.376716"
Sap,401 Bay Street,3.5,550.0,"43.653236,-79.376716"
The Poke Box,36 Toronto Street,4.5,176.0,"43.653236,-79.376716"
Terroni,57A Adelaide Street E,3.5,771.0,"43.653236,-79.376716"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.663722,-79.380288"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.663722,-79.380288"
Kintaro Izakaya,459 Church Street,4.0,231.0,"43.663722,-79.380288"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.663722,-79.380288"
Banh Mi Boys,399 Yonge Street,4.0,509.0,"43.663722,-79.380288"
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,365.0,"43.663722,-79.380288"
Hair of the Dog,425 Church Street,4.0,362.0,"43.663722,-79.380288"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.663722,-79.380288"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.663722,-79.380288"
Riddle Room,579 Yonge Street,4.5,185.0,"43.663722,-79.380288"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.663722,-79.380288"
Si Lom Thai Bistro,534 Church Street,4.0,193.0,"43.663722,-79.380288"
Tinuno,31 Howard Street,4.0,619.0,"43.663722,-79.380288"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,"43.663722,-79.380288"
Como En Casa,565 Yonge Street,4.0,241.0,"43.663722,-79.380288"
KINTON RAMEN,396 Church Street,4.0,226.0,"43.663722,-79.380288"
Wow Sushi,11 Charles Street,4.0,424.0,"43.663722,-79.380288"
The Senator,249 Victoria Street,4.0,489.0,"43.663722,-79.380288"
Zakkushi On Carlton,193 Carlton Street,4.0,324.0,"43.663722,-79.380288"
Fabarnak Community Cafe and Catering,519 Church Street,4.0,127.0,"43.663722,-79.380288"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.657763,-79.389165"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.657763,-79.389165"
Seven Lives Tacos y Mariscos,72 Kensington Avenue,4.5,1457.0,"43.657763,-79.389165"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.657763,-79.389165"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.657763,-79.389165"
Richmond Station,1 Richmond Street W,4.5,866.0,"43.657763,-79.389165"
Manpuku Japanese Eatery,105 McCaul Street,4.0,512.0,"43.657763,-79.389165"
Banh Mi Boys,392 Queen Street W,4.5,1236.0,"43.657763,-79.389165"
Banh Mi Boys,399 Yonge Street,4.0,509.0,"43.657763,-79.389165"
Eggspectation,483 Bay Street,4.0,750.0,"43.657763,-79.389165"
Poke Guys,112 Elizabeth Street,4.0,372.0,"43.657763,-79.389165"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.657763,-79.389165"
Japango,122 Elizabeth Street,3.5,712.0,"43.657763,-79.389165"
JaBistro,222 Richmond Street W,4.0,580.0,"43.657763,-79.389165"
Juicy Dumpling,280 Spadina Ave,4.5,592.0,"43.657763,-79.389165"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.657763,-79.389165"
Karine's,109 McCaul Street,4.0,251.0,"43.657763,-79.389165"
Koh Lipe,35 Baldwin Street,4.0,239.0,"43.657763,-79.389165"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,"43.657763,-79.389165"
Ikkousha Ramen,249 Queen Street W,4.5,283.0,"43.657763,-79.389165"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.656729,-79.382736"
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3338.0,"43.656729,-79.382736"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.656729,-79.382736"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.656729,-79.382736"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.656729,-79.382736"
Richmond Station,1 Richmond Street W,4.5,866.0,"43.656729,-79.382736"
Eggspectation,483 Bay Street,4.0,750.0,"43.656729,-79.382736"
Banh Mi Boys,399 Yonge Street,4.0,509.0,"43.656729,-79.382736"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.656729,-79.382736"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.656729,-79.382736"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,"43.656729,-79.382736"
Poke Guys,112 Elizabeth Street,4.0,372.0,"43.656729,-79.382736"
JOEY Eaton Centre,1 Dundas St W,3.5,528.0,"43.656729,-79.382736"
The Senator,249 Victoria Street,4.0,489.0,"43.656729,-79.382736"
The Queen And Beaver Public House,35 Elm Street,4.0,405.0,"43.656729,-79.382736"
Japango,122 Elizabeth Street,3.5,712.0,"43.656729,-79.382736"
Pearl Diver,100 Adelaide Street E,4.0,619.0,"43.656729,-79.382736"
Barberian's Steak House,7 Elm Street,4.0,309.0,"43.656729,-79.382736"
JaBistro,222 Richmond Street W,4.0,580.0,"43.656729,-79.382736"
Manpuku Japanese Eatery,105 McCaul Street,4.0,512.0,"43.656729,-79.382736"
Insomnia Restaurant & Lounge,563 Bloor Street W,4.0,1008.0,"43.664467,-79.414783"
Hodo Kwaja,656 Bloor Street W,4.5,240.0,"43.664467,-79.414783"
Buk Chang Dong Soon Tofu,691 Bloor Street W,4.0,477.0,"43.664467,-79.414783"
Korean Village Restaurant,628 Bloor Street W,4.0,402.0,"43.664467,-79.414783"
KINKA IZAKAYA ANNEX,559 Bloor St W,4.0,500.0,"43.664467,-79.414783"
Rustle & Still Café,605 Bloor Street W,4.5,150.0,"43.664467,-79.414783"
Snakes & Lattes Annex,600 Bloor Street W,4.0,355.0,"43.664467,-79.414783"
Yasu,81 Harbord Street,4.5,415.0,"43.664467,-79.414783"
Ramen Isshin,421 College Street,4.5,794.0,"43.664467,-79.414783"
Yummy Korean Food Restaurant,620 Bloor Street W,4.0,270.0,"43.664467,-79.414783"
Tofu Village - House of Soon Tofu,681 Bloor Street W,4.0,202.0,"43.664467,-79.414783"
Jin Dal Lae,647 Bloor Street W,4.5,110.0,"43.664467,-79.414783"
Rasa,196 Robert Street,4.5,317.0,"43.664467,-79.414783"
Tacos El Asador,689 Bloor Street W,4.0,323.0,"43.664467,-79.414783"
Kevin's Taiyaki,675 Bloor Street,4.5,78.0,"43.664467,-79.414783"
Barrio Coreano,642 Bloor Street W,3.5,247.0,"43.664467,-79.414783"
Fuwa Fuwa Japanese Pancakes,408 Bloor Street W,4.0,397.0,"43.664467,-79.414783"
Mr.Tonkatsu,520 Bloor Street W,4.0,192.0,"43.664467,-79.414783"
Sunrise House,661 Bloor Street W,4.0,216.0,"43.664467,-79.414783"
Her Father's Cider Bar & Kitchen,119 Harbord Street,4.5,183.0,"43.664467,-79.414783"
Black Camel,4 Crescent Road,4.5,379.0,"43.675492,-79.388858"
Grandma Loves You,1084 Yonge Street,5.0,71.0,"43.675492,-79.388858"
PLANTA,1221 Bay Street,4.0,486.0,"43.675492,-79.388858"
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Place,4.5,330.0,"43.675492,-79.388858"
Trattoria Nervosa,75 Yorkville Avenue,4.0,384.0,"43.675492,-79.388858"
Joso's,202 Davenport Road,4.5,165.0,"43.675492,-79.388858"
Wow Sushi,11 Charles Street,4.0,424.0,"43.675492,-79.388858"
Sassafraz,100 Cumberland Street,3.5,405.0,"43.675492,-79.388858"
Playa Cabana,111 Dupont Street,4.0,467.0,"43.675492,-79.388858"
Café Boulud,60 Yorkville Avenue,3.5,275.0,"43.675492,-79.388858"
Buca Yorkville,53 Scollard Street,4.0,204.0,"43.675492,-79.388858"
Salad Days,Cumberland Terrace,4.5,124.0,"43.675492,-79.388858"
Okonomi House Restaurant,23 Charles Street W,4.0,309.0,"43.675492,-79.388858"
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,365.0,"43.675492,-79.388858"
Portici,6 Scollard Street,4.0,86.0,"43.675492,-79.388858"
Utsav,69 Yorkville Ave,4.0,133.0,"43.675492,-79.388858"
Salad House,13 Hayden Street,4.5,88.0,"43.675492,-79.388858"
Blu Ristorante,90 Avenue Road,4.0,170.0,"43.675492,-79.388858"
Lee Chen Bistro,813 Yonge Street,3.5,173.0,"43.675492,-79.388858"
Tokyo Kitchen,20 Charles Street E,4.0,164.0,"43.675492,-79.388858"
Joso's,202 Davenport Road,4.5,165.0,"43.674991,-79.396273"
Black Camel,4 Crescent Road,4.5,379.0,"43.674991,-79.396273"
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Place,4.5,330.0,"43.674991,-79.396273"
Playa Cabana,111 Dupont Street,4.0,467.0,"43.674991,-79.396273"
Grandma Loves You,1084 Yonge Street,5.0,71.0,"43.674991,-79.396273"
PLANTA,1221 Bay Street,4.0,486.0,"43.674991,-79.396273"
Trattoria Nervosa,75 Yorkville Avenue,4.0,384.0,"43.674991,-79.396273"
Sassafraz,100 Cumberland Street,3.5,405.0,"43.674991,-79.396273"
Blu Ristorante,90 Avenue Road,4.0,170.0,"43.674991,-79.396273"
Gyubee Japanese Grill - Bloor,335 Bloor Street W,4.0,303.0,"43.674991,-79.396273"
Ristorante Sotto Sotto,120 Avenue Road,4.0,120.0,"43.674991,-79.396273"
Wow Sushi,11 Charles Street,4.0,424.0,"43.674991,-79.396273"
Café Boulud,60 Yorkville Avenue,3.5,275.0,"43.674991,-79.396273"
Fieramosca,36A Prince Arthur Avenue,4.5,110.0,"43.674991,-79.396273"
Buca Yorkville,53 Scollard Street,4.0,204.0,"43.674991,-79.396273"
Okonomi House Restaurant,23 Charles Street W,4.0,309.0,"43.674991,-79.396273"
The Oxley,121 Yorkville Avenue,4.0,167.0,"43.674991,-79.396273"
Utsav,69 Yorkville Ave,4.0,133.0,"43.674991,-79.396273"
Salad Days,Cumberland Terrace,4.5,124.0,"43.674991,-79.396273"
Dimmi Bar & Trattoria,140 Cumberland St,3.5,214.0,"43.674991,-79.396273"
PLANTA,1221 Bay Street,4.0,486.0,"43.671944,-79.387778"
Black Camel,4 Crescent Road,4.5,379.0,"43.671944,-79.387778"
Wow Sushi,11 Charles Street,4.0,424.0,"43.671944,-79.387778"
Trattoria Nervosa,75 Yorkville Avenue,4.0,384.0,"43.671944,-79.387778"
Sassafraz,100 Cumberland Street,3.5,405.0,"43.671944,-79.387778"
Salad Days,Cumberland Terrace,4.5,124.0,"43.671944,-79.387778"
Okonomi House Restaurant,23 Charles Street W,4.0,309.0,"43.671944,-79.387778"
Café Boulud,60 Yorkville Avenue,3.5,275.0,"43.671944,-79.387778"
Buca Yorkville,53 Scollard Street,4.0,204.0,"43.671944,-79.387778"
Riddle Room,579 Yonge Street,4.5,185.0,"43.671944,-79.387778"
Grandma Loves You,1084 Yonge Street,5.0,71.0,"43.671944,-79.387778"
Salad House,13 Hayden Street,4.5,88.0,"43.671944,-79.387778"
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,365.0,"43.671944,-79.387778"
Tokyo Kitchen,20 Charles Street E,4.0,164.0,"43.671944,-79.387778"
Eataly Toronto,55 Bloor Street W,3.5,270.0,"43.671944,-79.387778"
7 West Cafe,7 Charles Street W,3.5,433.0,"43.671944,-79.387778"
Utsav,69 Yorkville Ave,4.0,133.0,"43.671944,-79.387778"
Portici,6 Scollard Street,4.0,86.0,"43.671944,-79.387778"
Joso's,202 Davenport Road,4.5,165.0,"43.671944,-79.387778"
Yorkville Crepes,18 Yorkville Avenue,3.5,183.0,"43.671944,-79.387778"
Lady Marmalade,265 Broadview Avenue,4.0,625.0,"43.662365,-79.351104"
White Lily Diner,678 Queen Street E,4.5,138.0,"43.662365,-79.351104"
Bach Yen,738 Gerrard Street E,4.0,210.0,"43.662365,-79.351104"
Tabule Middle Eastern Cuisine,810 Queen Street  E,4.0,197.0,"43.662365,-79.351104"
Bonjour Brioche,812 Queen Street E,3.5,305.0,"43.662365,-79.351104"
Que Ling Restaurant,248 Boulton Avenue,4.0,89.0,"43.662365,-79.351104"
Mi Mi Restaurant,688 Gerrard Street E,4.0,135.0,"43.662365,-79.351104"
The Comrade,758 Queen Street E,4.0,83.0,"43.662365,-79.351104"
Souk Tabule,494 Front Street E,4.5,121.0,"43.662365,-79.351104"
Batifole Restaurant,744 Gerrard Street E,4.0,80.0,"43.662365,-79.351104"
Wynona,819 Gerrard Street E,4.5,57.0,"43.662365,-79.351104"
Pho House,625 Gerrard Street E,4.0,84.0,"43.662365,-79.351104"
La Carnita,780 Queen Street E,3.5,129.0,"43.662365,-79.351104"
Dumpling House,619 Gerrard Street E,3.5,89.0,"43.662365,-79.351104"
Pizza-Pide,949 Gerrard Street E,4.0,95.0,"43.662365,-79.351104"
Wok & Roast Chinese BBQ,349 Broadview Ave,3.5,106.0,"43.662365,-79.351104"
Purple Penguin Cafe,889 Queen Street E,4.0,77.0,"43.662365,-79.351104"
Leslieville Pumps,913 Queen Street E,4.0,120.0,"43.662365,-79.351104"
Eastside Social,1008 Queen Street E,4.5,80.0,"43.662365,-79.351104"
O’SOMAE,357 Broadview Ave,4.5,24.0,"43.662365,-79.351104"
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3338.0,"43.646144,-79.377962"
Richmond Station,1 Richmond Street W,4.5,866.0,"43.646144,-79.377962"
Miku,105-10 Bay Street,4.0,878.0,"43.646144,-79.377962"
Canoe,66 Wellington Street  W,4.0,734.0,"43.646144,-79.377962"
Byblos,11 Duncan Street,4.5,890.0,"43.646144,-79.377962"
Beerbistro,18 King Street E,4.0,679.0,"43.646144,-79.377962"
Pearl Diver,100 Adelaide Street E,4.0,619.0,"43.646144,-79.377962"
Cafe Landwer - Adelaide & University,165 University Avenue,4.0,481.0,"43.646144,-79.377962"
Eggspectation,483 Bay Street,4.0,750.0,"43.646144,-79.377962"
Cactus Club Cafe,77 Adelaide Street W,4.0,579.0,"43.646144,-79.377962"
JaBistro,222 Richmond Street W,4.0,580.0,"43.646144,-79.377962"
Mystic Muffin,113 Jarvis Street,4.5,290.0,"43.646144,-79.377962"
King Taps,100 King Street W,4.0,384.0,"43.646144,-79.377962"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.646144,-79.377962"
360 Restaurant,CN Tower,3.5,967.0,"43.646144,-79.377962"
Sukho Thai,52 Wellington Street E,3.5,545.0,"43.646144,-79.377962"
Tachi,111 Richmond Street W,4.5,173.0,"43.646144,-79.377962"
The Keg Steakhouse + Bar - York Street,165 York Street,4.0,298.0,"43.646144,-79.377962"
The Poke Box,36 Toronto Street,4.5,176.0,"43.646144,-79.377962"
Estiatorio Volos,133 Richmond St W,4.0,331.0,"43.646144,-79.377962"
Lady Marmalade,265 Broadview Avenue,4.0,625.0,"43.663993,-79.358534"
The House On Parliament,454 Parliament Street,4.0,316.0,"43.663993,-79.358534"
Zakkushi On Carlton,193 Carlton Street,4.0,324.0,"43.663993,-79.358534"
White Lily Diner,678 Queen Street E,4.5,138.0,"43.663993,-79.358534"
El Nahual Tacos,556 parliament st,4.5,147.0,"43.663993,-79.358534"
Bach Yen,738 Gerrard Street E,4.0,210.0,"43.663993,-79.358534"
Tabule Middle Eastern Cuisine,810 Queen Street  E,4.0,197.0,"43.663993,-79.358534"
Que Ling Restaurant,248 Boulton Avenue,4.0,89.0,"43.663993,-79.358534"
Mi Mi Restaurant,688 Gerrard Street E,4.0,135.0,"43.663993,-79.358534"
Bonjour Brioche,812 Queen Street E,3.5,305.0,"43.663993,-79.358534"
Maya Bay Thai,252 Carlton Street,4.5,46.0,"43.663993,-79.358534"
Saigon PAI,446 Parliament Street,4.5,51.0,"43.663993,-79.358534"
The Comrade,758 Queen Street E,4.0,83.0,"43.663993,-79.358534"
Salt and Tobacco,521 Parliament Street,4.0,61.0,"43.663993,-79.358534"
Pho House,625 Gerrard Street E,4.0,84.0,"43.663993,-79.358534"
Batifole Restaurant,744 Gerrard Street E,4.0,80.0,"43.663993,-79.358534"
Kibo Sushi House,533 Parliament Street,4.0,70.0,"43.663993,-79.358534"
Dumpling House,619 Gerrard Street E,3.5,89.0,"43.663993,-79.358534"
Wok & Roast Chinese BBQ,349 Broadview Ave,3.5,106.0,"43.663993,-79.358534"
O’SOMAE,357 Broadview Ave,4.5,24.0,"43.663993,-79.358534"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.657266,-79.374756"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.657266,-79.374756"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.657266,-79.374756"
Richmond Station,1 Richmond Street W,4.5,866.0,"43.657266,-79.374756"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.657266,-79.374756"
Pearl Diver,100 Adelaide Street E,4.0,619.0,"43.657266,-79.374756"
Mystic Muffin,113 Jarvis Street,4.5,290.0,"43.657266,-79.374756"
Eggspectation,483 Bay Street,4.0,750.0,"43.657266,-79.374756"
George Restaurant,111 Queen Street E,4.5,292.0,"43.657266,-79.374756"
The Senator,249 Victoria Street,4.0,489.0,"43.657266,-79.374756"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.657266,-79.374756"
Banh Mi Boys,399 Yonge Street,4.0,509.0,"43.657266,-79.374756"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.657266,-79.374756"
Egg Club,88 Dundas Street E,4.5,121.0,"43.657266,-79.374756"
The Carbon Bar,99 Queen Street East,4.0,407.0,"43.657266,-79.374756"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,"43.657266,-79.374756"
Beerbistro,18 King Street E,4.0,679.0,"43.657266,-79.374756"
J San Sushi Bar,186 Jarvis Street,4.5,76.0,"43.657266,-79.374756"
JOEY Eaton Centre,1 Dundas St W,3.5,528.0,"43.657266,-79.374756"
Gyukatsu Kyoto Katsugyu,134 Dundas Street E,4.0,143.0,"43.657266,-79.374756"
Bach Yen,738 Gerrard Street E,4.0,210.0,"43.6672144,-79.3452697"
Lady Marmalade,265 Broadview Avenue,4.0,625.0,"43.6672144,-79.3452697"
Wynona,819 Gerrard Street E,4.5,57.0,"43.6672144,-79.3452697"
Mi Mi Restaurant,688 Gerrard Street E,4.0,135.0,"43.6672144,-79.3452697"
Que Ling Restaurant,248 Boulton Avenue,4.0,89.0,"43.6672144,-79.3452697"
Pizza-Pide,949 Gerrard Street E,4.0,95.0,"43.6672144,-79.3452697"
Completo,5 Coady Avenue,4.5,167.0,"43.6672144,-79.3452697"
Tabule Middle Eastern Cuisine,810 Queen Street  E,4.0,197.0,"43.6672144,-79.3452697"
Batifole Restaurant,744 Gerrard Street E,4.0,80.0,"43.6672144,-79.3452697"
White Lily Diner,678 Queen Street E,4.5,138.0,"43.6672144,-79.3452697"
The Real Jerk,842 Gerrard Street E,3.5,183.0,"43.6672144,-79.3452697"
Bonjour Brioche,812 Queen Street E,3.5,305.0,"43.6672144,-79.3452697"
Tropical Joe's,Gerrard Square Mall,4.0,75.0,"43.6672144,-79.3452697"
Maple Leaf Tavern,955 Gerrard Street E,4.0,105.0,"43.6672144,-79.3452697"
Chula Taberna Mexicana,1058 Gerrard Street E,4.0,150.0,"43.6672144,-79.3452697"
Ascari,1111 Queen Street E,4.0,129.0,"43.6672144,-79.3452697"
Pinkerton Snack Bar,1026 Gerrard Street E,4.0,66.0,"43.6672144,-79.3452697"
Eastside Social,1008 Queen Street E,4.5,80.0,"43.6672144,-79.3452697"
Hype Food,1060 Gerrard St E,4.5,41.0,"43.6672144,-79.3452697"
The Comrade,758 Queen Street E,4.0,83.0,"43.6672144,-79.3452697"
Agio,1351 St Clair Avenue W,4.5,187.0,"43.673939,-79.441159"
Emma's Country Kitchen,810 Saint Clair Avenue W,4.0,439.0,"43.673939,-79.441159"
Famiglia Baldassarre,122 Geary Avenue,4.5,67.0,"43.673939,-79.441159"
Khmer Thai Restaurant,1018 St Clair Avenue W,4.0,138.0,"43.673939,-79.441159"
The Sovereign,1359 Davenport Road,4.5,35.0,"43.673939,-79.441159"
Tre Mari Bakery,1311 Saint Clair Avenue W,4.5,92.0,"43.673939,-79.441159"
CANO Restaurant,1108 St Clair Avenue W,4.5,64.0,"43.673939,-79.441159"
Rush Hour,1438A Dufferin Street,4.5,46.0,"43.673939,-79.441159"
Good Behaviour,342 Westmoreland Avenue N,4.5,45.0,"43.673939,-79.441159"
Parallel,217 Geary Avenue,4.0,91.0,"43.673939,-79.441159"
Itacate,998 St. Clair Avenue W,4.5,56.0,"43.673939,-79.441159"
Barista & Chef,1006 Saint Clair Avenue W,4.5,53.0,"43.673939,-79.441159"
Pukka,778 St. Clair Avenue W,4.0,177.0,"43.673939,-79.441159"
King's Tacos,1190 St Clair Avenue W,4.0,79.0,"43.673939,-79.441159"
Marcello’s pizzeria,1163 Saint Clair Avenue W,4.0,97.0,"43.673939,-79.441159"
Lox + Schmear,1030 St Clair W,4.5,40.0,"43.673939,-79.441159"
Rio 40 Restaurant,1256 Saint Clair Avenue West,4.0,63.0,"43.673939,-79.441159"
Pizza e Pazzi,1182 St Clair Avenue W,4.0,87.0,"43.673939,-79.441159"
Sushi California,1238 Saint Clair Avenue W,3.5,98.0,"43.673939,-79.441159"
DeSotos Eatery,1079 St Clair Avenue West,4.0,82.0,"43.673939,-79.441159"
Descendant Detroit Style Pizza,1168 Queen Street E,4.5,418.0,"43.657991,-79.340075"
Lady Marmalade,265 Broadview Avenue,4.0,625.0,"43.657991,-79.340075"
Completo,5 Coady Avenue,4.5,167.0,"43.657991,-79.340075"
