name,address,yelp_rating,yelp_total_ratings,yelp_num_res,coordinates
Maha's,226 Greenwood Avenue,4.0,572.0,50.0,"43.665269,-79.319796"
The Burger's Priest,1636 Queen Street E,3.5,503.0,50.0,"43.665269,-79.319796"
Chino Locos Original,4 Greenwood Avenue,4.0,190.0,50.0,"43.665269,-79.319796"
Lahore Tikka House,1365 Gerrard Street E,3.5,542.0,50.0,"43.665269,-79.319796"
Gio Rana's Really Really Nice Restaurant,1220 Queen Street East,4.0,228.0,50.0,"43.665269,-79.319796"
Lake Inez,1471 Gerrard Street E,4.5,92.0,50.0,"43.665269,-79.319796"
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,149.0,50.0,"43.665269,-79.319796"
Udupi Palace,1460 Gerrard Street E,3.5,206.0,50.0,"43.665269,-79.319796"
The Sidekick,1374 Queen Street E,4.5,31.0,50.0,"43.665269,-79.319796"
Chick-N-Joy,1483 Queen Street E,4.0,55.0,50.0,"43.665269,-79.319796"
Hastings Snack Bar,5 Hastings Avenue,4.5,41.0,50.0,"43.665269,-79.319796"
Casa Di Giorgios,1646 Queen St E,4.0,73.0,50.0,"43.665269,-79.319796"
Tea N Bannock,1294 Gerrard Street E,4.5,44.0,50.0,"43.665269,-79.319796"
British Style Fish & Chips,73 Coxwell Avenue,4.0,51.0,50.0,"43.665269,-79.319796"
O Sushi,6 Coxwell Avenue,4.0,57.0,50.0,"43.665269,-79.319796"
Regency Restaurant,1423 Gerrard Street E,4.0,77.0,50.0,"43.665269,-79.319796"
Yaya Greek Bistro,1186 Queen Street E,4.0,82.0,50.0,"43.665269,-79.319796"
Motimahal,1422 Gerrard St E,3.5,107.0,50.0,"43.665269,-79.319796"
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65.0,50.0,"43.665269,-79.319796"
Leslie Jones,1182 Queen Street E,4.0,75.0,50.0,"43.665269,-79.319796"
Toto Sushi,1455 Gerrard Street E,4.5,29.0,50.0,"43.665269,-79.319796"
Karma's Kitchen,1411 Gerrard Street E,4.0,61.0,50.0,"43.665269,-79.319796"
Jaclyn's,1588 Queen Street E,4.5,14.0,50.0,"43.665269,-79.319796"
Flying Pony,1481 Gerrard Street E,4.0,31.0,50.0,"43.665269,-79.319796"
Burrito Bandidos,1614 Queen Street E,3.5,57.0,50.0,"43.665269,-79.319796"
Blondies,1555 Dundas Street E,4.0,52.0,50.0,"43.665269,-79.319796"
Maru Japanese Bistro,1402 Queen Street E,4.0,15.0,50.0,"43.665269,-79.319796"
Gautama,1416 Gerrard Street E,3.5,63.0,50.0,"43.665269,-79.319796"
Nodo Leslieville,1192 Queen Street East,4.0,35.0,50.0,"43.665269,-79.319796"
Bombay Chowpatty,1386 Gerrard St E,3.0,58.0,50.0,"43.665269,-79.319796"
Occasions Restaurant,30 Eastwood Road,4.0,45.0,50.0,"43.665269,-79.319796"
Leela Indian Food Bar,1386 Gerrard Street E,4.5,13.0,50.0,"43.665269,-79.319796"
Chandni Chowk Restaurant,1426 Gerrard Street E,3.5,31.0,50.0,"43.665269,-79.319796"
Le Conciliabule,1300 Gerrard Street E,4.5,12.0,50.0,"43.665269,-79.319796"
KaSpace Cafe,1183 Queen Street E,5.0,9.0,50.0,"43.665269,-79.319796"
Jules Bistro,1290 Queen St E,3.5,27.0,50.0,"43.665269,-79.319796"
Lahore Chaat & Desi Burger House,1344 Gerrard Street E,4.0,16.0,50.0,"43.665269,-79.319796"
Desi Burger,1342 Gerrard Street E,4.0,12.0,50.0,"43.665269,-79.319796"
Black Pony,1481 Gerrard Street E,4.5,8.0,50.0,"43.665269,-79.319796"
BIRDIES Fried Chicken,263 Coxwell Avenue,4.5,10.0,50.0,"43.665269,-79.319796"
McDonald's,29-31 Woodward Avenue,2.5,22.0,50.0,"43.665269,-79.319796"
The Friendly Thai,1218 Queen Street E,2.5,59.0,50.0,"43.665269,-79.319796"
Good Behaviour,1324A Gerrard Street E,4.5,6.0,50.0,"43.665269,-79.319796"
New Town Family Restaurant,266 Coxwell Ave,3.5,14.0,50.0,"43.665269,-79.319796"
Lahore BBQ Paan Center,1435 Gerrard Street E,3.5,14.0,50.0,"43.665269,-79.319796"
Shish,1225 Queen Street E,3.0,20.0,50.0,"43.665269,-79.319796"
Hakka Flame,1433 Gerrard Street E,4.0,9.0,50.0,"43.665269,-79.319796"
Queen's Head,1214 Queen Street E,2.5,33.0,50.0,"43.665269,-79.319796"
Butter Chicken Roti,1610 Queen Street E,2.5,13.0,50.0,"43.665269,-79.319796"
Maestro Omar’s Gourmet Pizza,66 Kingston Road,4.0,8.0,50.0,"43.665269,-79.319796"
Agio,1351 St Clair Avenue W,4.5,187.0,50.0,"43.67142,-79.445947"
Tre Mari Bakery,1311 Saint Clair Avenue W,4.5,92.0,50.0,"43.67142,-79.445947"
Famiglia Baldassarre,122 Geary Avenue,4.5,67.0,50.0,"43.67142,-79.445947"
Rush Hour,1438A Dufferin Street,4.5,46.0,50.0,"43.67142,-79.445947"
Parallel,217 Geary Avenue,4.0,91.0,50.0,"43.67142,-79.445947"
The Sovereign,1359 Davenport Road,4.5,35.0,50.0,"43.67142,-79.445947"
Khmer Thai Restaurant,1018 St Clair Avenue W,4.0,138.0,50.0,"43.67142,-79.445947"
Good Behaviour,342 Westmoreland Avenue N,4.5,45.0,50.0,"43.67142,-79.445947"
CANO Restaurant,1108 St Clair Avenue W,4.5,64.0,50.0,"43.67142,-79.445947"
Wallace Espresso,188 Wallace Avenue,4.5,45.0,50.0,"43.67142,-79.445947"
King's Tacos,1190 St Clair Avenue W,4.0,80.0,50.0,"43.67142,-79.445947"
Rio 40 Restaurant,1256 Saint Clair Avenue West,4.0,63.0,50.0,"43.67142,-79.445947"
Tuckshop Kitchen,1640 Dupont Street,4.5,56.0,50.0,"43.67142,-79.445947"
Itacate,998 St. Clair Avenue W,4.5,56.0,50.0,"43.67142,-79.445947"
Marcello’s pizzeria,1163 Saint Clair Avenue W,4.0,97.0,50.0,"43.67142,-79.445947"
Barista & Chef,1006 Saint Clair Avenue W,4.5,53.0,50.0,"43.67142,-79.445947"
Koji Japanese Restaurant,1553 Dupont Street,4.5,38.0,50.0,"43.67142,-79.445947"
Sushi California,1238 Saint Clair Avenue W,3.5,98.0,50.0,"43.67142,-79.445947"
Pizza e Pazzi,1182 St Clair Avenue W,4.0,87.0,50.0,"43.67142,-79.445947"
Love Chix,33 Powerhouse Street,3.5,46.0,50.0,"43.67142,-79.445947"
Frank’s Pizza House,1352 St Clair Avenue W,3.5,99.0,50.0,"43.67142,-79.445947"
Lox + Schmear,1030 St Clair W,4.5,40.0,50.0,"43.67142,-79.445947"
DeSotos Eatery,1079 St Clair Avenue West,4.0,82.0,50.0,"43.67142,-79.445947"
North Of Brooklyn,229 Geary Avenue,4.0,41.0,50.0,"43.67142,-79.445947"
Mattachioni,1617 Dupont Street,4.0,45.0,50.0,"43.67142,-79.445947"
Sunnyside Grill,1218 Saint Clair Avenue W,3.5,56.0,50.0,"43.67142,-79.445947"
La Bruschetta Restaurant,1317 St Clair Avenue West,4.0,38.0,50.0,"43.67142,-79.445947"
Thai Lime,1551 Dupont Street,3.5,96.0,50.0,"43.67142,-79.445947"
Brasa Peruvian Kitchen,297 Campbell Avenue,5.0,9.0,50.0,"43.67142,-79.445947"
Pho Lang Van,958 Saint Clair Avenue W,4.0,56.0,50.0,"43.67142,-79.445947"
Atomic 10,145 Lauder Ave,4.5,23.0,50.0,"43.67142,-79.445947"
Donna's,827 Lansdowne Avenue,4.5,25.0,50.0,"43.67142,-79.445947"
Kaito Sushi,1211 St Clair Ave W,4.0,31.0,50.0,"43.67142,-79.445947"
Piri Piri Grill,1444 Dupont Street,3.5,52.0,50.0,"43.67142,-79.445947"
Cantanhede O Bairradino,662 Lansdowne Avenue,4.0,40.0,50.0,"43.67142,-79.445947"
Boo Radley's Junction Bar and Grill,1482 Dupont Street,3.5,46.0,50.0,"43.67142,-79.445947"
Royal Caribbean Cafe,1127 St Clair Ave W,4.0,28.0,50.0,"43.67142,-79.445947"
Dairy Freeze,1601 St Clair Avenue W,3.0,72.0,50.0,"43.67142,-79.445947"
Tenoch Restaurant,933 Saint Clair Avenue W,3.5,66.0,50.0,"43.67142,-79.445947"
Boom Breakfast & Company,1036 St Clair Ave W,3.0,94.0,50.0,"43.67142,-79.445947"
La Morena,1175A St Clair Avenue W,5.0,8.0,50.0,"43.67142,-79.445947"
Church's Texas Chicken,1171 St. Clair Avenue W,3.5,37.0,50.0,"43.67142,-79.445947"
Rancho Relaxo To Go,1635 Dupont Street,3.5,35.0,50.0,"43.67142,-79.445947"
El Sazón Mexicano,1284 St Clair Avenue W,4.5,9.0,50.0,"43.67142,-79.445947"
Defina Wood Fired,1485 Dupont Street,3.5,26.0,50.0,"43.67142,-79.445947"
Meta Dos Leitoes,218 Geary Avenue,4.5,7.0,50.0,"43.67142,-79.445947"
Pho Rang Dong,1193 Saint Clair Ave W,3.5,22.0,50.0,"43.67142,-79.445947"
Gaucho Pie,346 Westmoreland Ave N,4.5,7.0,50.0,"43.67142,-79.445947"
Paracas Peruvian,992 St.Clair Avenue W,3.5,25.0,50.0,"43.67142,-79.445947"
Rain Sushi,1353 St Clair Avenue W,4.5,6.0,50.0,"43.67142,-79.445947"
The Burger's Priest,1636 Queen Street E,3.5,503.0,50.0,"43.666224,-79.317693"
Maha's,226 Greenwood Avenue,4.0,572.0,50.0,"43.666224,-79.317693"
Lahore Tikka House,1365 Gerrard Street E,3.5,542.0,50.0,"43.666224,-79.317693"
Chino Locos Original,4 Greenwood Avenue,4.0,190.0,50.0,"43.666224,-79.317693"
Lake Inez,1471 Gerrard Street E,4.5,92.0,50.0,"43.666224,-79.317693"
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,149.0,50.0,"43.666224,-79.317693"
Udupi Palace,1460 Gerrard Street E,3.5,206.0,50.0,"43.666224,-79.317693"
Casa Di Giorgios,1646 Queen St E,4.0,73.0,50.0,"43.666224,-79.317693"
O Sushi,6 Coxwell Avenue,4.0,57.0,50.0,"43.666224,-79.317693"
British Style Fish & Chips,73 Coxwell Avenue,4.0,51.0,50.0,"43.666224,-79.317693"
The Sidekick,1374 Queen Street E,4.5,31.0,50.0,"43.666224,-79.317693"
Chick-N-Joy,1483 Queen Street E,4.0,55.0,50.0,"43.666224,-79.317693"
Regency Restaurant,1423 Gerrard Street E,4.0,77.0,50.0,"43.666224,-79.317693"
Tea N Bannock,1294 Gerrard Street E,4.5,44.0,50.0,"43.666224,-79.317693"
Hastings Snack Bar,5 Hastings Avenue,4.5,41.0,50.0,"43.666224,-79.317693"
Motimahal,1422 Gerrard St E,3.5,107.0,50.0,"43.666224,-79.317693"
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65.0,50.0,"43.666224,-79.317693"
Toto Sushi,1455 Gerrard Street E,4.5,29.0,50.0,"43.666224,-79.317693"
Jaclyn's,1588 Queen Street E,4.5,14.0,50.0,"43.666224,-79.317693"
Burrito Bandidos,1614 Queen Street E,3.5,57.0,50.0,"43.666224,-79.317693"
Karma's Kitchen,1411 Gerrard Street E,4.0,61.0,50.0,"43.666224,-79.317693"
Flying Pony,1481 Gerrard Street E,4.0,31.0,50.0,"43.666224,-79.317693"
Sauvignon Bistro,1862 Queen Street E,4.0,40.0,50.0,"43.666224,-79.317693"
Gautama,1416 Gerrard Street E,3.5,63.0,50.0,"43.666224,-79.317693"
Occasions Restaurant,30 Eastwood Road,4.0,45.0,50.0,"43.666224,-79.317693"
Maru Japanese Bistro,1402 Queen Street E,4.0,15.0,50.0,"43.666224,-79.317693"
Chandni Chowk Restaurant,1426 Gerrard Street E,3.5,31.0,50.0,"43.666224,-79.317693"
Bombay Chowpatty,1386 Gerrard St E,3.0,58.0,50.0,"43.666224,-79.317693"
Leela Indian Food Bar,1386 Gerrard Street E,4.5,13.0,50.0,"43.666224,-79.317693"
Le Conciliabule,1300 Gerrard Street E,4.5,12.0,50.0,"43.666224,-79.317693"
Lahore Chaat & Desi Burger House,1344 Gerrard Street E,4.0,16.0,50.0,"43.666224,-79.317693"
Jules Bistro,1290 Queen St E,3.5,27.0,50.0,"43.666224,-79.317693"
BIRDIES Fried Chicken,263 Coxwell Avenue,4.5,10.0,50.0,"43.666224,-79.317693"
Desi Burger,1342 Gerrard Street E,4.0,12.0,50.0,"43.666224,-79.317693"
Black Pony,1481 Gerrard Street E,4.5,8.0,50.0,"43.666224,-79.317693"
New Town Family Restaurant,266 Coxwell Ave,3.5,14.0,50.0,"43.666224,-79.317693"
McDonald's,29-31 Woodward Avenue,2.5,22.0,50.0,"43.666224,-79.317693"
Good Behaviour,1324A Gerrard Street E,4.5,6.0,50.0,"43.666224,-79.317693"
Lahore BBQ Paan Center,1435 Gerrard Street E,3.5,14.0,50.0,"43.666224,-79.317693"
Butter Chicken Roti,1610 Queen Street E,2.5,13.0,50.0,"43.666224,-79.317693"
Maestro Omar’s Gourmet Pizza,66 Kingston Road,4.0,8.0,50.0,"43.666224,-79.317693"
Hakka Flame,1433 Gerrard Street E,4.0,9.0,50.0,"43.666224,-79.317693"
JP Restaurant,270 Coxwell Avenue,3.5,10.0,50.0,"43.666224,-79.317693"
Beach Club,1681 Lake Shore Boulevard E,3.0,17.0,50.0,"43.666224,-79.317693"
Harvey's,1641 Queen St E,2.0,16.0,50.0,"43.666224,-79.317693"
Simple Coffee,1636 Queen Street E,4.5,2.0,50.0,"43.666224,-79.317693"
Mattachioni,1501 Gerrard St E,4.5,4.0,50.0,"43.666224,-79.317693"
Lahore Grill & Fast Food,1274 Gerrard St E,3.5,12.0,50.0,"43.666224,-79.317693"
Toronto Beach Club,1681 Lake Shore Boulevard E,3.0,8.0,50.0,"43.666224,-79.317693"
Kabul Kabab House,1324 E Gerrard Street,4.0,6.0,50.0,"43.666224,-79.317693"
Richmond Station,1 Richmond Street W,4.5,866.0,50.0,"43.653236,-79.376716"
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3339.0,50.0,"43.653236,-79.376716"
Pearl Diver,100 Adelaide Street E,4.0,619.0,50.0,"43.653236,-79.376716"
Blaze Pizza,10 Dundas St. East,4.5,581.0,50.0,"43.653236,-79.376716"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,50.0,"43.653236,-79.376716"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,884.0,50.0,"43.653236,-79.376716"
Eggspectation,483 Bay Street,4.0,750.0,50.0,"43.653236,-79.376716"
Mystic Muffin,113 Jarvis Street,4.5,290.0,50.0,"43.653236,-79.376716"
George Restaurant,111 Queen Street E,4.5,292.0,50.0,"43.653236,-79.376716"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,50.0,"43.653236,-79.376716"
Beerbistro,18 King Street E,4.0,679.0,50.0,"43.653236,-79.376716"
The Carbon Bar,99 Queen Street East,4.0,407.0,50.0,"43.653236,-79.376716"
Byblos,11 Duncan Street,4.5,890.0,50.0,"43.653236,-79.376716"
The Senator,249 Victoria Street,4.0,489.0,50.0,"43.653236,-79.376716"
Canoe,66 Wellington Street  W,4.0,735.0,50.0,"43.653236,-79.376716"
Katsuya,66 Gerrard Street E,4.5,477.0,50.0,"43.653236,-79.376716"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,50.0,"43.653236,-79.376716"
Sap,401 Bay Street,3.5,550.0,50.0,"43.653236,-79.376716"
The Poke Box,36 Toronto Street,4.5,176.0,50.0,"43.653236,-79.376716"
Terroni,57A Adelaide Street E,3.5,771.0,50.0,"43.653236,-79.376716"
Banh Mi Boys,399 Yonge Street,4.0,509.0,50.0,"43.653236,-79.376716"
Cafe Landwer - Adelaide & University,165 University Avenue,4.0,481.0,50.0,"43.653236,-79.376716"
JaBistro,222 Richmond Street W,4.0,580.0,50.0,"43.653236,-79.376716"
The Chase,10 Temperance Street,3.5,422.0,50.0,"43.653236,-79.376716"
Cactus Club Cafe,77 Adelaide Street W,4.0,579.0,50.0,"43.653236,-79.376716"
Gyu-Kaku Japanese BBQ,81 Church Street,4.0,202.0,50.0,"43.653236,-79.376716"
Egg Club,88 Dundas Street E,4.5,121.0,50.0,"43.653236,-79.376716"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,50.0,"43.653236,-79.376716"
JOEY Eaton Centre,1 Dundas St W,3.5,528.0,50.0,"43.653236,-79.376716"
Poke Guys,112 Elizabeth Street,4.0,372.0,50.0,"43.653236,-79.376716"
Tachi,111 Richmond Street W,4.5,173.0,50.0,"43.653236,-79.376716"
Carisma,15 Toronto Street,4.0,194.0,50.0,"43.653236,-79.376716"
The Keg Steakhouse + Bar - York Street,165 York Street,4.0,298.0,50.0,"43.653236,-79.376716"
Japango,122 Elizabeth Street,3.5,712.0,50.0,"43.653236,-79.376716"
Estiatorio Volos,133 Richmond St W,4.0,331.0,50.0,"43.653236,-79.376716"
King Taps,100 King Street W,4.0,384.0,50.0,"43.653236,-79.376716"
Ikkousha Ramen,249 Queen Street W,4.5,283.0,50.0,"43.653236,-79.376716"
Chef's Hall,111 Richmond Street W,4.0,311.0,50.0,"43.653236,-79.376716"
Sukho Thai,52 Wellington Street E,3.5,545.0,50.0,"43.653236,-79.376716"
Cafe Oro Di Napoli,75 Jarvis Street,4.5,83.0,50.0,"43.653236,-79.376716"
The Queen And Beaver Public House,35 Elm Street,4.0,405.0,50.0,"43.653236,-79.376716"
Cluck Clucks,222 The Esplanade,4.5,285.0,50.0,"43.653236,-79.376716"
J San Sushi Bar,186 Jarvis Street,4.5,76.0,50.0,"43.653236,-79.376716"
Barberian's Steak House,7 Elm Street,4.0,309.0,50.0,"43.653236,-79.376716"
Mengrai Thai,82 Ontario Street,4.0,298.0,50.0,"43.653236,-79.376716"
Yuzu No Hana,236 Adelaide Street W,4.0,570.0,50.0,"43.653236,-79.376716"
Le Petit Déjeuner,191 King Street E,3.5,378.0,50.0,"43.653236,-79.376716"
Hothouse,35 Church Street,3.5,395.0,50.0,"43.653236,-79.376716"
Buster's Sea Cove,93 Front Street E,3.5,336.0,50.0,"43.653236,-79.376716"
Gyukatsu Kyoto Katsugyu,134 Dundas Street E,4.0,143.0,50.0,"43.653236,-79.376716"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,50.0,"43.663722,-79.380288"
Katsuya,66 Gerrard Street E,4.5,477.0,50.0,"43.663722,-79.380288"
Kintaro Izakaya,459 Church Street,4.0,231.0,50.0,"43.663722,-79.380288"
Blaze Pizza,10 Dundas St. East,4.5,581.0,50.0,"43.663722,-79.380288"
Banh Mi Boys,399 Yonge Street,4.0,509.0,50.0,"43.663722,-79.380288"
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,365.0,50.0,"43.663722,-79.380288"
Hair of the Dog,425 Church Street,4.0,362.0,50.0,"43.663722,-79.380288"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,50.0,"43.663722,-79.380288"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,884.0,50.0,"43.663722,-79.380288"
Riddle Room,579 Yonge Street,4.5,185.0,50.0,"43.663722,-79.380288"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,50.0,"43.663722,-79.380288"
Si Lom Thai Bistro,534 Church Street,4.0,193.0,50.0,"43.663722,-79.380288"
Tinuno,31 Howard Street,4.0,619.0,50.0,"43.663722,-79.380288"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,50.0,"43.663722,-79.380288"
Como En Casa,565 Yonge Street,4.0,241.0,50.0,"43.663722,-79.380288"
KINTON RAMEN,396 Church Street,4.0,226.0,50.0,"43.663722,-79.380288"
Wow Sushi,11 Charles Street,4.0,424.0,50.0,"43.663722,-79.380288"
The Senator,249 Victoria Street,4.0,489.0,50.0,"43.663722,-79.380288"
Zakkushi On Carlton,193 Carlton Street,4.0,324.0,50.0,"43.663722,-79.380288"
Fabarnak Community Cafe and Catering,519 Church Street,4.0,127.0,50.0,"43.663722,-79.380288"
Storm Crow Manor,580 Church Street,4.0,137.0,50.0,"43.663722,-79.380288"
Kawa Sushi,451 Church Street,3.5,171.0,50.0,"43.663722,-79.380288"
The Queen And Beaver Public House,35 Elm Street,4.0,405.0,50.0,"43.663722,-79.380288"
ramen RAIJIN ,24 Wellesley Street W,3.5,384.0,50.0,"43.663722,-79.380288"
Okonomi House Restaurant,23 Charles Street W,4.0,309.0,50.0,"43.663722,-79.380288"
Fushimi,491 Church Street,3.5,264.0,50.0,"43.663722,-79.380288"
Barberian's Steak House,7 Elm Street,4.0,309.0,50.0,"43.663722,-79.380288"
JOEY Eaton Centre,1 Dundas St W,3.5,528.0,50.0,"43.663722,-79.380288"
Poke Guys,112 Elizabeth Street,4.0,372.0,50.0,"43.663722,-79.380288"
Egg Club,88 Dundas Street E,4.5,121.0,50.0,"43.663722,-79.380288"
Fran's Restaurant,20 College Street,3.5,414.0,50.0,"43.663722,-79.380288"
Japango,122 Elizabeth Street,3.5,712.0,50.0,"43.663722,-79.380288"
PLANTA,1221 Bay Street,4.0,486.0,50.0,"43.663722,-79.380288"
Torch Pressed Sushi,507 Church St,4.5,71.0,50.0,"43.663722,-79.380288"
The House On Parliament,454 Parliament Street,4.0,316.0,50.0,"43.663722,-79.380288"
Gurume Sushi,45 Carlton Street,5.0,39.0,50.0,"43.663722,-79.380288"
El Nahual Tacos,556 parliament st,4.5,147.0,50.0,"43.663722,-79.380288"
W Burger Bar,10 College Street,3.5,300.0,50.0,"43.663722,-79.380288"
Burrito Bandidos,2 Grosvenor Street,4.0,128.0,50.0,"43.663722,-79.380288"
Sushi & BBbop,Food Court At Aura,4.5,87.0,50.0,"43.663722,-79.380288"
Smith,553 Church Street,3.5,253.0,50.0,"43.663722,-79.380288"
Adega Restaurante,33 Elm St,4.0,157.0,50.0,"43.663722,-79.380288"
Tokyo Sushi,33 St Joseph Street,4.0,135.0,50.0,"43.663722,-79.380288"
The Captain's Boil,476 Yonge St,3.5,231.0,50.0,"43.663722,-79.380288"
Basil Box,351 Yonge Street,4.0,187.0,50.0,"43.663722,-79.380288"
Tokyo Kitchen,20 Charles Street E,4.0,164.0,50.0,"43.663722,-79.380288"
T-swirl Crêpe,510 Yonge Street,4.0,99.0,50.0,"43.663722,-79.380288"
Cabano's Comfort Food,75 Saint Nicholas Street,4.5,75.0,50.0,"43.663722,-79.380288"
Bloom,596 Yonge street,4.5,64.0,50.0,"43.663722,-79.380288"
Koyoi Restaurant & Bar,2 Irwin Avenue,4.0,135.0,50.0,"43.663722,-79.380288"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,50.0,"43.657763,-79.389165"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,50.0,"43.657763,-79.389165"
Seven Lives Tacos y Mariscos,72 Kensington Avenue,4.5,1457.0,50.0,"43.657763,-79.389165"
Blaze Pizza,10 Dundas St. East,4.5,581.0,50.0,"43.657763,-79.389165"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,50.0,"43.657763,-79.389165"
Richmond Station,1 Richmond Street W,4.5,866.0,50.0,"43.657763,-79.389165"
Manpuku Japanese Eatery,105 McCaul Street,4.0,512.0,50.0,"43.657763,-79.389165"
Banh Mi Boys,392 Queen Street W,4.5,1236.0,50.0,"43.657763,-79.389165"
Banh Mi Boys,399 Yonge Street,4.0,509.0,50.0,"43.657763,-79.389165"
Eggspectation,483 Bay Street,4.0,750.0,50.0,"43.657763,-79.389165"
Poke Guys,112 Elizabeth Street,4.0,372.0,50.0,"43.657763,-79.389165"
Katsuya,66 Gerrard Street E,4.5,477.0,50.0,"43.657763,-79.389165"
Japango,122 Elizabeth Street,3.5,712.0,50.0,"43.657763,-79.389165"
JaBistro,222 Richmond Street W,4.0,580.0,50.0,"43.657763,-79.389165"
Juicy Dumpling,280 Spadina Ave,4.5,592.0,50.0,"43.657763,-79.389165"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,884.0,50.0,"43.657763,-79.389165"
Karine's,109 McCaul Street,4.0,251.0,50.0,"43.657763,-79.389165"
Koh Lipe,35 Baldwin Street,4.0,239.0,50.0,"43.657763,-79.389165"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,50.0,"43.657763,-79.389165"
Ikkousha Ramen,249 Queen Street W,4.5,283.0,50.0,"43.657763,-79.389165"
The Queen And Beaver Public House,35 Elm Street,4.0,405.0,50.0,"43.657763,-79.389165"
Cafe Landwer - Adelaide & University,165 University Avenue,4.0,481.0,50.0,"43.657763,-79.389165"
JOEY Eaton Centre,1 Dundas St W,3.5,528.0,50.0,"43.657763,-79.389165"
Fresco's Fish & Chips,201 Augusta Avenue,4.5,382.0,50.0,"43.657763,-79.389165"
The Senator,249 Victoria Street,4.0,489.0,50.0,"43.657763,-79.389165"
KINTON RAMEN,51 Baldwin Street,3.5,468.0,50.0,"43.657763,-79.389165"
Light Cafe,23 Baldwin Street,4.0,242.0,50.0,"43.657763,-79.389165"
Yummy Yummy Dumplings,79 Huron Street,4.0,301.0,50.0,"43.657763,-79.389165"
Rolltation,207 Dundas Street W,4.0,225.0,50.0,"43.657763,-79.389165"
Millie Creperie,161 Baldwin Street,4.0,367.0,50.0,"43.657763,-79.389165"
Gyubee Japanese Grill - Dundas,157 Dundas St W,4.5,154.0,50.0,"43.657763,-79.389165"
Omai Restaurant,3 Baldwin Street,4.0,122.0,50.0,"43.657763,-79.389165"
Rasta Pasta,61 Kensington Avenue,4.0,364.0,50.0,"43.657763,-79.389165"
Saigon Lotus,6 St Andrew Street,4.5,207.0,50.0,"43.657763,-79.389165"
Barberian's Steak House,7 Elm Street,4.0,309.0,50.0,"43.657763,-79.389165"
Estiatorio Volos,133 Richmond St W,4.0,331.0,50.0,"43.657763,-79.389165"
Dumpling House Restaurant,328 Spadina Avenue,3.5,620.0,50.0,"43.657763,-79.389165"
Swatow Restaurant,309 Spadina Avenue,4.0,443.0,50.0,"43.657763,-79.389165"
Tachi,111 Richmond Street W,4.5,173.0,50.0,"43.657763,-79.389165"
Adega Restaurante,33 Elm St,4.0,157.0,50.0,"43.657763,-79.389165"
Sap,401 Bay Street,3.5,550.0,50.0,"43.657763,-79.389165"
The Keg Steakhouse + Bar - York Street,165 York Street,4.0,298.0,50.0,"43.657763,-79.389165"
Cactus Club Cafe,77 Adelaide Street W,4.0,579.0,50.0,"43.657763,-79.389165"
Lai Wah Heen,108 Chestnut Street,3.5,225.0,50.0,"43.657763,-79.389165"
Yuugi Izakaya,49 Baldwin Street,4.5,77.0,50.0,"43.657763,-79.389165"
Riddle Room,579 Yonge Street,4.5,185.0,50.0,"43.657763,-79.389165"
Kintaro Izakaya,459 Church Street,4.0,231.0,50.0,"43.657763,-79.389165"
HotBlack Coffee,245 Queen Street W,4.5,162.0,50.0,"43.657763,-79.389165"
Dzo Viet Eatery,308 Dundas Street W,4.0,130.0,50.0,"43.657763,-79.389165"
Banh Mi Nguyen Huong Food,322 Spadina Avenue,4.0,200.0,50.0,"43.657763,-79.389165"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,50.0,"43.656729,-79.382736"
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3339.0,50.0,"43.656729,-79.382736"
Blaze Pizza,10 Dundas St. East,4.5,581.0,50.0,"43.656729,-79.382736"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,50.0,"43.656729,-79.382736"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,50.0,"43.656729,-79.382736"
Richmond Station,1 Richmond Street W,4.5,866.0,50.0,"43.656729,-79.382736"
Eggspectation,483 Bay Street,4.0,750.0,50.0,"43.656729,-79.382736"
Banh Mi Boys,399 Yonge Street,4.0,509.0,50.0,"43.656729,-79.382736"
Katsuya,66 Gerrard Street E,4.5,477.0,50.0,"43.656729,-79.382736"
