name,address,num_of_stations,coordinates
St Patrick Subway Station,147 University Ave,6,"43.64852,-79.380576"
Osgoode SUBWAY Station,250 University Ave,6,"43.64852,-79.380576"
Dundas Subway Station,300 Yonge St,6,"43.64852,-79.380576"
St Patrick Subway Station,449 University Ave,6,"43.64852,-79.380576"
St Patrick Subway Station,449 University Ave,6,"43.656026,-79.385327"
Dundas Subway Station,300 Yonge St,6,"43.656026,-79.385327"
Osgoode SUBWAY Station,250 University Ave,6,"43.656026,-79.385327"
Queen's Park Subway Station,505 University Ave,6,"43.656026,-79.385327"
St Patrick Subway Station,147 University Ave,6,"43.656026,-79.385327"
King Subway Station,70 Yonge St,6,"43.656026,-79.385327"
St Patrick Subway Station,147 University Ave,2,"43.645323,-79.395003"
Osgoode SUBWAY Station,250 University Ave,2,"43.645323,-79.395003"
Spadina Station North Entrance,68 Spadina Rd,1,"43.677778,-79.405556"
Union Subway Station,55 Front St E,2,"43.641646,-79.375308"
King Subway Station,70 Yonge St,2,"43.641646,-79.375308"
Union Subway Station,55 Front St E,4,"43.646162,-79.378912"
King Subway Station,70 Yonge St,4,"43.646162,-79.378912"
St Patrick Subway Station,147 University Ave,4,"43.646162,-79.378912"
Osgoode SUBWAY Station,250 University Ave,4,"43.646162,-79.378912"
,,0,"43.687323,-79.304848"
Sherbourne Subway Station,420 Bloor St E,3,"43.668991,-79.379385"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.668991,-79.379385"
Wellesley Subway Station,551 Yonge St,3,"43.668991,-79.379385"
Wellesley Subway Station,551 Yonge St,5,"43.6622222,-79.3825"
Queen's Park Subway Station,505 University Ave,5,"43.6622222,-79.3825"
Dundas Subway Station,300 Yonge St,5,"43.6622222,-79.3825"
St Patrick Subway Station,449 University Ave,5,"43.6622222,-79.3825"
Bloor-Yonge Subway Station,20 Bloor St E,5,"43.6622222,-79.3825"
,,0,"43.64333333333333,-79.40555555555557"
Queen's Park Subway Station,505 University Ave,3,"43.6575,-79.39527777777778"
St Patrick Subway Station,449 University Ave,3,"43.6575,-79.39527777777778"
Osgoode SUBWAY Station,250 University Ave,3,"43.6575,-79.39527777777778"
Dundas Subway Station,300 Yonge St,6,"43.657424,-79.381019"
St Patrick Subway Station,449 University Ave,6,"43.657424,-79.381019"
Queen's Park Subway Station,505 University Ave,6,"43.657424,-79.381019"
Osgoode SUBWAY Station,250 University Ave,6,"43.657424,-79.381019"
Wellesley Subway Station,551 Yonge St,6,"43.657424,-79.381019"
King Subway Station,70 Yonge St,6,"43.657424,-79.381019"
Union Subway Station,55 Front St E,4,"43.64595,-79.378761"
King Subway Station,70 Yonge St,4,"43.64595,-79.378761"
St Patrick Subway Station,147 University Ave,4,"43.64595,-79.378761"
Osgoode SUBWAY Station,250 University Ave,4,"43.64595,-79.378761"
Bloor-Yonge Subway Station,20 Bloor St E,5,"43.668427,-79.38725"
Wellesley Subway Station,551 Yonge St,5,"43.668427,-79.38725"
Rosedale Subway Station,1009 Yonge St,5,"43.668427,-79.38725"
Queen's Park Subway Station,505 University Ave,5,"43.668427,-79.38725"
Sherbourne Subway Station,420 Bloor St E,5,"43.668427,-79.38725"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.669604,-79.381171"
Sherbourne Subway Station,420 Bloor St E,4,"43.669604,-79.381171"
Wellesley Subway Station,551 Yonge St,4,"43.669604,-79.381171"
Rosedale Subway Station,1009 Yonge St,4,"43.669604,-79.381171"
,,0,"43.661673,-79.337789"
,,0,"43.665656,-79.352055"
,,0,"43.6308933,-79.4722622"
,,0,"43.6224434,-79.480284"
St. George Subway Station,323 Bloor St W,3,"43.66986,-79.398443"
Spadina Subway Station,371 Bloor St W,3,"43.66986,-79.398443"
Spadina Station North Entrance,68 Spadina Rd,3,"43.66986,-79.398443"
,,0,"43.659471,-79.350325"
Dundas West Subway Station,1525 Bloor St W,1,"43.650492,-79.450842"
,,0,"43.640255,-79.439223"
,,0,"43.637922,-79.431734"
,,0,"43.643769,-79.447915"
,,0,"43.649172,-79.4445087"
,,0,"43.663912,-79.416124"
St Patrick Subway Station,147 University Ave,4,"43.6458569,-79.3853654"
Union Subway Station,55 Front St E,4,"43.6458569,-79.3853654"
Osgoode SUBWAY Station,250 University Ave,4,"43.6458569,-79.3853654"
King Subway Station,70 Yonge St,4,"43.6458569,-79.3853654"
,,0,"43.66587,-79.33443"
,,0,"43.658816,-79.367318"
Bloor-Danforth Subway Line,,3,"43.654004,-79.444792"
Lansdowne Subway Station,1287 Bloor St W,3,"43.654004,-79.444792"
Dundas West Subway Station,1525 Bloor St W,3,"43.654004,-79.444792"
,,0,"43.6397,-79.44865"
,,0,"43.653809,-79.3595"
Rosedale Subway Station,1009 Yonge St,4,"43.673768,-79.391253"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.673768,-79.391253"
St. George Subway Station,323 Bloor St W,4,"43.673768,-79.391253"
Summerhill Subway Station,1189 Yonge St,4,"43.673768,-79.391253"
St Patrick Subway Station,449 University Ave,3,"43.654074,-79.398115"
Queen's Park Subway Station,505 University Ave,3,"43.654074,-79.398115"
Osgoode SUBWAY Station,250 University Ave,3,"43.654074,-79.398115"
,,0,"43.656638,-79.358749"
,,0,"43.716652,-79.399993"
,,0,"43.684261,-79.299332"
,,0,"43.678685,-79.297974"
Jane Subway Station,2440 Bloor St W,1,"43.65143,-79.47779"
Jane Subway Station,2440 Bloor St W,1,"43.64976,-79.48477"
Lansdowne Subway Station,1287 Bloor St W,3,"43.664182,-79.449066"
Bloor-Danforth Subway Line,,3,"43.664182,-79.449066"
Dundas West Subway Station,1525 Bloor St W,3,"43.664182,-79.449066"
St Patrick Subway Station,147 University Ave,2,"43.64407,-79.3929"
Osgoode SUBWAY Station,250 University Ave,2,"43.64407,-79.3929"
,,0,"43.61868,-79.48674"
St Patrick Subway Station,147 University Ave,4,"43.6442,-79.38702"
Union Subway Station,55 Front St E,4,"43.6442,-79.38702"
Osgoode SUBWAY Station,250 University Ave,4,"43.6442,-79.38702"
King Subway Station,70 Yonge St,4,"43.6442,-79.38702"
Union Subway Station,55 Front St E,4,"43.64283,-79.38409"
St Patrick Subway Station,147 University Ave,4,"43.64283,-79.38409"
King Subway Station,70 Yonge St,4,"43.64283,-79.38409"
Osgoode SUBWAY Station,250 University Ave,4,"43.64283,-79.38409"
Jane Subway Station,2440 Bloor St W,1,"43.65182,-79.47421"
,,0,"43.685569,-79.408019"
King Subway Station,70 Yonge St,5,"43.651678,-79.375233"
Dundas Subway Station,300 Yonge St,5,"43.651678,-79.375233"
Union Subway Station,55 Front St E,5,"43.651678,-79.375233"
St Patrick Subway Station,147 University Ave,5,"43.651678,-79.375233"
Osgoode SUBWAY Station,250 University Ave,5,"43.651678,-79.375233"
King Subway Station,70 Yonge St,6,"43.651838,-79.378743"
Dundas Subway Station,300 Yonge St,6,"43.651838,-79.378743"
Osgoode SUBWAY Station,250 University Ave,6,"43.651838,-79.378743"
St Patrick Subway Station,147 University Ave,6,"43.651838,-79.378743"
Union Subway Station,55 Front St E,6,"43.651838,-79.378743"
St Patrick Subway Station,449 University Ave,6,"43.651838,-79.378743"
,,0,"43.645653,-79.464366"
St. George Subway Station,323 Bloor St W,5,"43.665221,-79.394009"
Queen's Park Subway Station,505 University Ave,5,"43.665221,-79.394009"
Wellesley Subway Station,551 Yonge St,5,"43.665221,-79.394009"
Spadina Subway Station,371 Bloor St W,5,"43.665221,-79.394009"
Bloor-Yonge Subway Station,20 Bloor St E,5,"43.665221,-79.394009"
,,0,"43.688148,-79.362101"
Sherbourne Subway Station,420 Bloor St E,3,"43.669232,-79.374495"
Wellesley Subway Station,551 Yonge St,3,"43.669232,-79.374495"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.669232,-79.374495"
,,0,"43.640075,-79.414156"
Pape Subway Station,743 Pape Ave,4,"43.678285,-79.347346"
Chester Subway Station,22 Chester Ave,4,"43.678285,-79.347346"
Donlands Subway Station,990 Danforth Ave,4,"43.678285,-79.347346"
Broadview Subway Station,90 Danforth Ave,4,"43.678285,-79.347346"
,,0,"43.697139,-79.31469"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.694826,-79.295208"
,,0,"43.673118,-79.318651"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.689293,-79.295895"
,,0,"43.66908,-79.3149"
,,0,"43.66073,-79.47149"
,,0,"43.63121,-79.41414"
,,0,"43.66189,-79.42679"
,,0,"43.65389,-79.4675"
,,0,"43.676697,-79.445029"
,,0,"43.68114,-79.4277"
,,0,"43.663148,-79.347938"
,,0,"43.669813,-79.3335"
,,0,"43.633537,-79.437461"
,,0,"43.663162,-79.309765"
,,0,"43.63632,-79.47307"
,,0,"43.697819,-79.38786"
,,0,"43.638426,-79.429142"
Dundas Subway Station,300 Yonge St,4,"43.65988,-79.38279"
Wellesley Subway Station,551 Yonge St,4,"43.65988,-79.38279"
Queen's Park Subway Station,505 University Ave,4,"43.65988,-79.38279"
St Patrick Subway Station,449 University Ave,4,"43.65988,-79.38279"
Spadina Subway Station,371 Bloor St W,3,"43.667023,-79.401805"
St. George Subway Station,323 Bloor St W,3,"43.667023,-79.401805"
Spadina Station North Entrance,68 Spadina Rd,3,"43.667023,-79.401805"
Spadina Station North Entrance,68 Spadina Rd,3,"43.66842,-79.410585"
Spadina Subway Station,371 Bloor St W,3,"43.66842,-79.410585"
St. George Subway Station,323 Bloor St W,3,"43.66842,-79.410585"
,,0,"43.66402,-79.46418"
,,0,"43.66686,-79.46526"
Sherbourne Subway Station,420 Bloor St E,1,"43.671278,-79.372127"
,,0,"43.635023,-79.399505"
Wellesley Subway Station,551 Yonge St,3,"43.66834,-79.38235"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.66834,-79.38235"
Sherbourne Subway Station,420 Bloor St E,3,"43.66834,-79.38235"
Osgoode SUBWAY Station,250 University Ave,6,"43.65263,-79.38766"
St Patrick Subway Station,449 University Ave,6,"43.65263,-79.38766"
St Patrick Subway Station,147 University Ave,6,"43.65263,-79.38766"
Dundas Subway Station,300 Yonge St,6,"43.65263,-79.38766"
Queen's Park Subway Station,505 University Ave,6,"43.65263,-79.38766"
King Subway Station,70 Yonge St,6,"43.65263,-79.38766"
Osgoode SUBWAY Station,250 University Ave,7,"43.65158,-79.38655"
St Patrick Subway Station,449 University Ave,7,"43.65158,-79.38655"
St Patrick Subway Station,147 University Ave,7,"43.65158,-79.38655"
Dundas Subway Station,300 Yonge St,7,"43.65158,-79.38655"
King Subway Station,70 Yonge St,7,"43.65158,-79.38655"
Union Subway Station,55 Front St E,7,"43.65158,-79.38655"
Queen's Park Subway Station,505 University Ave,7,"43.65158,-79.38655"
,,0,"43.70547,-79.40355"
,,0,"43.641675,-79.354006"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.694341,-79.291416"
Union Subway Station,55 Front St E,2,"43.64422,-79.36927"
King Subway Station,70 Yonge St,2,"43.64422,-79.36927"
,,0,"43.685924,-79.376304"
,,0,"43.645215,-79.364898"
Osgoode SUBWAY Station,250 University Ave,1,"43.6462574,-79.3973381"
,,0,"43.646677,-79.442741"
,,0,"43.63855,-79.46693"
,,0,"43.645599,-79.4657123"
,,0,"43.674923,-79.430465"
Coxwell Subway Station,1568 Danforth Ave,1,"43.684758,-79.316767"
Wellesley Subway Station,551 Yonge St,3,"43.66663,-79.38148"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.66663,-79.38148"
Sherbourne Subway Station,420 Bloor St E,3,"43.66663,-79.38148"
,,0,"43.685221,-79.294766"
,,0,"43.635492,-79.398253"
Union Subway Station,55 Front St E,2,"43.63951,-79.383717"
St Patrick Subway Station,147 University Ave,2,"43.63951,-79.383717"
St Patrick Subway Station,147 University Ave,2,"43.641529,-79.386741"
Union Subway Station,55 Front St E,2,"43.641529,-79.386741"
,,0,"43.6417852,-79.4131148"
Dundas Subway Station,300 Yonge St,6,"43.655766,-79.3802"
St Patrick Subway Station,449 University Ave,6,"43.655766,-79.3802"
King Subway Station,70 Yonge St,6,"43.655766,-79.3802"
Osgoode SUBWAY Station,250 University Ave,6,"43.655766,-79.3802"
Queen's Park Subway Station,505 University Ave,6,"43.655766,-79.3802"
St Patrick Subway Station,147 University Ave,6,"43.655766,-79.3802"
,,0,"43.680466,-79.432522"
Wellesley Subway Station,551 Yonge St,4,"43.664088,-79.387095"
Queen's Park Subway Station,505 University Ave,4,"43.664088,-79.387095"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.664088,-79.387095"
Dundas Subway Station,300 Yonge St,4,"43.664088,-79.387095"
,,0,"43.65917,-79.46997"
Sherbourne Subway Station,420 Bloor St E,4,"43.671535,-79.379173"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.671535,-79.379173"
Wellesley Subway Station,551 Yonge St,4,"43.671535,-79.379173"
Rosedale Subway Station,1009 Yonge St,4,"43.671535,-79.379173"
St Patrick Subway Station,147 University Ave,5,"43.646734,-79.38301"
Union Subway Station,55 Front St E,5,"43.646734,-79.38301"
King Subway Station,70 Yonge St,5,"43.646734,-79.38301"
Osgoode SUBWAY Station,250 University Ave,5,"43.646734,-79.38301"
St Patrick Subway Station,449 University Ave,5,"43.646734,-79.38301"
Spadina Subway Station,371 Bloor St W,3,"43.6662942,-79.4066433"
Spadina Station North Entrance,68 Spadina Rd,3,"43.6662942,-79.4066433"
St. George Subway Station,323 Bloor St W,3,"43.6662942,-79.4066433"
,,0,"43.675278,-79.423889"
King Subway Station,70 Yonge St,5,"43.648928,-79.378623"
Union Subway Station,55 Front St E,5,"43.648928,-79.378623"
St Patrick Subway Station,147 University Ave,5,"43.648928,-79.378623"
Osgoode SUBWAY Station,250 University Ave,5,"43.648928,-79.378623"
Dundas Subway Station,300 Yonge St,5,"43.648928,-79.378623"
King Subway Station,70 Yonge St,2,"43.6509552,-79.3707"
Union Subway Station,55 Front St E,2,"43.6509552,-79.3707"
,,0,"43.715951,-79.351246"
,,0,"43.665645,-79.304711"
St Patrick Subway Station,147 University Ave,2,"43.645572,-79.39399"
Osgoode SUBWAY Station,250 University Ave,2,"43.645572,-79.39399"
King Subway Station,70 Yonge St,3,"43.652777,-79.372637"
Dundas Subway Station,300 Yonge St,3,"43.652777,-79.372637"
Union Subway Station,55 Front St E,3,"43.652777,-79.372637"
Dundas West Subway Station,1525 Bloor St W,1,"43.665538,-79.451263"
King Subway Station,70 Yonge St,3,"43.650325,-79.372287"
Union Subway Station,55 Front St E,3,"43.650325,-79.372287"
Dundas Subway Station,300 Yonge St,3,"43.650325,-79.372287"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.66943,-79.38915"
Wellesley Subway Station,551 Yonge St,4,"43.66943,-79.38915"
Rosedale Subway Station,1009 Yonge St,4,"43.66943,-79.38915"
St. George Subway Station,323 Bloor St W,4,"43.66943,-79.38915"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.669244,-79.3894"
Wellesley Subway Station,551 Yonge St,4,"43.669244,-79.3894"
Rosedale Subway Station,1009 Yonge St,4,"43.669244,-79.3894"
St. George Subway Station,323 Bloor St W,4,"43.669244,-79.3894"
,,0,"43.688526,-79.412903"
,,0,"43.683351,-79.41562"
Dundas Subway Station,300 Yonge St,2,"43.6574766,-79.373446"
King Subway Station,70 Yonge St,2,"43.6574766,-79.373446"
,,0,"43.636611,-79.400042"
,,0,"43.646552,-79.406468"
Union Subway Station,55 Front St E,4,"43.647259,-79.379878"
King Subway Station,70 Yonge St,4,"43.647259,-79.379878"
St Patrick Subway Station,147 University Ave,4,"43.647259,-79.379878"
Osgoode SUBWAY Station,250 University Ave,4,"43.647259,-79.379878"
,,0,"43.713524,-79.400162"
King Subway Station,70 Yonge St,4,"43.65003919999999,-79.3733541"
Union Subway Station,55 Front St E,4,"43.65003919999999,-79.3733541"
Dundas Subway Station,300 Yonge St,4,"43.65003919999999,-79.3733541"
St Patrick Subway Station,147 University Ave,4,"43.65003919999999,-79.3733541"
Dundas Subway Station,300 Yonge St,7,"43.653264,-79.382458"
Osgoode SUBWAY Station,250 University Ave,7,"43.653264,-79.382458"
St Patrick Subway Station,449 University Ave,7,"43.653264,-79.382458"
King Subway Station,70 Yonge St,7,"43.653264,-79.382458"
St Patrick Subway Station,147 University Ave,7,"43.653264,-79.382458"
Union Subway Station,55 Front St E,7,"43.653264,-79.382458"
Queen's Park Subway Station,505 University Ave,7,"43.653264,-79.382458"
Queen's Park Subway Station,505 University Ave,4,"43.663376,-79.392125"
Wellesley Subway Station,551 Yonge St,4,"43.663376,-79.392125"
St. George Subway Station,323 Bloor St W,4,"43.663376,-79.392125"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.663376,-79.392125"
Queen's Park Subway Station,505 University Ave,4,"43.660439,-79.385525"
Wellesley Subway Station,551 Yonge St,4,"43.660439,-79.385525"
Dundas Subway Station,300 Yonge St,4,"43.660439,-79.385525"
St Patrick Subway Station,449 University Ave,4,"43.660439,-79.385525"
Queen's Park Subway Station,505 University Ave,5,"43.659226,-79.390213"
St Patrick Subway Station,449 University Ave,5,"43.659226,-79.390213"
Dundas Subway Station,300 Yonge St,5,"43.659226,-79.390213"
Wellesley Subway Station,551 Yonge St,5,"43.659226,-79.390213"
Osgoode SUBWAY Station,250 University Ave,5,"43.659226,-79.390213"
Queen's Park Subway Station,505 University Ave,4,"43.65995,-79.38964"
St Patrick Subway Station,449 University Ave,4,"43.65995,-79.38964"
Wellesley Subway Station,551 Yonge St,4,"43.65995,-79.38964"
Dundas Subway Station,300 Yonge St,4,"43.65995,-79.38964"
Queen's Park Subway Station,505 University Ave,4,"43.661803,-79.389682"
Wellesley Subway Station,551 Yonge St,4,"43.661803,-79.389682"
St Patrick Subway Station,449 University Ave,4,"43.661803,-79.389682"
Dundas Subway Station,300 Yonge St,4,"43.661803,-79.389682"
Queen's Park Subway Station,505 University Ave,4,"43.660087,-79.385655"
Wellesley Subway Station,551 Yonge St,4,"43.660087,-79.385655"
Dundas Subway Station,300 Yonge St,4,"43.660087,-79.385655"
St Patrick Subway Station,449 University Ave,4,"43.660087,-79.385655"
,,0,"43.6146692,-79.4873148"
,,0,"43.626265,-79.476723"
,,0,"43.63771,-79.458173"
,,0,"43.6390437,-79.4760109"
,,0,"43.6486599,-79.4376413"
,,0,"43.6423847,-79.4240277"
,,0,"43.6702236,-79.4360232"
,,0,"43.67883,-79.408723"
Sherbourne Subway Station,420 Bloor St E,3,"43.6752732,-79.3778458"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.6752732,-79.3778458"
Rosedale Subway Station,1009 Yonge St,3,"43.6752732,-79.3778458"
,,0,"43.645469,-79.411084"
,,0,"43.6882821,-79.4253856"
,,0,"43.651603,-79.408346"
Spadina Station North Entrance,68 Spadina Rd,3,"43.670206,-79.402643"
St. George Subway Station,323 Bloor St W,3,"43.670206,-79.402643"
Spadina Subway Station,371 Bloor St W,3,"43.670206,-79.402643"
,,0,"43.661559,-79.413845"
St Patrick Subway Station,449 University Ave,4,"43.6560758,-79.393259"
Queen's Park Subway Station,505 University Ave,4,"43.6560758,-79.393259"
Osgoode SUBWAY Station,250 University Ave,4,"43.6560758,-79.393259"
Dundas Subway Station,300 Yonge St,4,"43.6560758,-79.393259"
Queen's Park Subway Station,505 University Ave,4,"43.6580442,-79.3927404"
St Patrick Subway Station,449 University Ave,4,"43.6580442,-79.3927404"
Osgoode SUBWAY Station,250 University Ave,4,"43.6580442,-79.3927404"
Dundas Subway Station,300 Yonge St,4,"43.6580442,-79.3927404"
Queen's Park Subway Station,505 University Ave,2,"43.6568254,-79.3966159"
St Patrick Subway Station,449 University Ave,2,"43.6568254,-79.3966159"
,,0,"43.5927419,-79.54033009999999"
,,0,"43.597082,-79.522768"
,,0,"43.6171635,-79.4971065"
,,0,"43.612063,-79.496573"
,,0,"43.63732,-79.489083"
,,0,"43.5961692,-79.5160575"
,,0,"43.613606,-79.4883535"
,,0,"43.664665,-79.489385"
,,0,"43.665523,-79.484892"
,,0,"43.668496,-79.485426"
,,0,"43.698841,-79.519472"
,,0,"43.658574,-79.487246"
,,0,"43.63985,-79.43703"
,,0,"43.665076,-79.341509"
,,0,"43.6323994,-79.40978179999999"
,,0,"43.6935477,-79.3301658"
Jane Subway Station,2440 Bloor St W,1,"43.6438036,-79.4770327"
,,0,"43.65246,-79.413528"
,,0,"43.6548521,-79.35397680000001"
,,0,"43.630874,-79.482407"
,,0,"43.6704403,-79.45328549999999"
,,0,"43.6535,-79.354068"
,,0,"43.6617908,-79.361515"
,,0,"43.649709,-79.364184"
Sherbourne Subway Station,420 Bloor St E,2,"43.666051,-79.374161"
Wellesley Subway Station,551 Yonge St,2,"43.666051,-79.374161"
,,0,"43.7005976,-79.397345"
,,0,"43.7029672,-79.3979073"
St Clair Subway Station,1441 Yonge St,2,"43.68871,-79.39264"
Summerhill Subway Station,1189 Yonge St,2,"43.68871,-79.39264"
,,0,"43.6834703,-79.5108942"
York University Subway Station,120 Ian MacDonald Blvd,1,"43.7696262,-79.5025943"
Finch West Subway Station,3950 Keele St,1,"43.7641485,-79.5012809"
Finch West Subway Station,3950 Keele St,1,"43.76521,-79.491281"
,,0,"43.7724019,-79.4675395"
,,0,"43.7781116,-79.467963"
,,0,"43.707049,-79.40966"
,,0,"43.711751,-79.378615"
Lawrence Subway Station,3101 Yonge St,1,"43.732975,-79.40401"
Queen's Park Subway Station,505 University Ave,4,"43.660274,-79.398049"
St. George Subway Station,323 Bloor St W,4,"43.660274,-79.398049"
Spadina Subway Station,371 Bloor St W,4,"43.660274,-79.398049"
St Patrick Subway Station,449 University Ave,4,"43.660274,-79.398049"
,,0,"43.699281,-79.318802"
,,0,"43.707582,-79.311439"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.696631,-79.297436"
Osgoode SUBWAY Station,250 University Ave,3,"43.650077,-79.391291"
St Patrick Subway Station,147 University Ave,3,"43.650077,-79.391291"
St Patrick Subway Station,449 University Ave,3,"43.650077,-79.391291"
,,0,"43.6765897,-79.3163022"
Osgoode SUBWAY Station,250 University Ave,6,"43.650745,-79.383633"
St Patrick Subway Station,147 University Ave,6,"43.650745,-79.383633"
King Subway Station,70 Yonge St,6,"43.650745,-79.383633"
St Patrick Subway Station,449 University Ave,6,"43.650745,-79.383633"
Dundas Subway Station,300 Yonge St,6,"43.650745,-79.383633"
Union Subway Station,55 Front St E,6,"43.650745,-79.383633"
,,0,"43.720233,-79.362092"
,,0,"43.6926825,-79.441042"
,,0,"43.7041957,-79.4094472"
,,0,"43.7078691,-79.39248"
,,0,"43.591561,-79.545827"
,,0,"43.5880774,-79.5432067"
,,0,"43.754978,-79.1971289"
,,0,"43.6856,-79.3718"
,,0,"43.637764,-79.345359"
Spadina Subway Station,371 Bloor St W,4,"43.6629228,-79.4018451"
St. George Subway Station,323 Bloor St W,4,"43.6629228,-79.4018451"
Spadina Station North Entrance,68 Spadina Rd,4,"43.6629228,-79.4018451"
Queen's Park Subway Station,505 University Ave,4,"43.6629228,-79.4018451"
Queen's Park Subway Station,505 University Ave,4,"43.660296,-79.397107"
St. George Subway Station,323 Bloor St W,4,"43.660296,-79.397107"
St Patrick Subway Station,449 University Ave,4,"43.660296,-79.397107"
Spadina Subway Station,371 Bloor St W,4,"43.660296,-79.397107"
,,0,"43.788319,-79.123505"
,,0,"43.7805505,-79.1301203"
,,0,"43.7777114,-79.1659711"
,,0,"43.779353,-79.193023"
,,0,"43.747854,-79.199327"
,,0,"43.7561681,-79.2026694"
,,0,"43.6002896,-79.5108692"
,,0,"43.6615467,-79.498398"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6632257,-79.4397052"
Bloor-Danforth Subway Line,,2,"43.6632257,-79.4397052"
,,0,"43.680095,-79.291714"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.691468,-79.288619"
Union Subway Station,55 Front St E,4,"43.645609,-79.380386"
St Patrick Subway Station,147 University Ave,4,"43.645609,-79.380386"
King Subway Station,70 Yonge St,4,"43.645609,-79.380386"
Osgoode SUBWAY Station,250 University Ave,4,"43.645609,-79.380386"
Queen's Park Subway Station,505 University Ave,5,"43.6591666666667,-79.3855555555556"
Dundas Subway Station,300 Yonge St,5,"43.6591666666667,-79.3855555555556"
St Patrick Subway Station,449 University Ave,5,"43.6591666666667,-79.3855555555556"
Wellesley Subway Station,551 Yonge St,5,"43.6591666666667,-79.3855555555556"
Osgoode SUBWAY Station,250 University Ave,5,"43.6591666666667,-79.3855555555556"
Dundas Subway Station,300 Yonge St,1,"43.658777,-79.369596"
,,0,"43.6625395,-79.5030161"
Future Subway Stop,846 Eglinton Ave W,1,"43.7004017,-79.4275305"
,,0,"43.77953,-79.45233"
,,0,"43.7774374,-79.4447096"
St. George Subway Station,323 Bloor St W,4,"43.6637403,-79.39806449999999"
Spadina Subway Station,371 Bloor St W,4,"43.6637403,-79.39806449999999"
Queen's Park Subway Station,505 University Ave,4,"43.6637403,-79.39806449999999"
Spadina Station North Entrance,68 Spadina Rd,4,"43.6637403,-79.39806449999999"
,,0,"43.707045,-79.375437"
King Subway Station,70 Yonge St,5,"43.6495789,-79.3762096"
Union Subway Station,55 Front St E,5,"43.6495789,-79.3762096"
St Patrick Subway Station,147 University Ave,5,"43.6495789,-79.3762096"
Dundas Subway Station,300 Yonge St,5,"43.6495789,-79.3762096"
Osgoode SUBWAY Station,250 University Ave,5,"43.6495789,-79.3762096"
Spadina Subway Station,371 Bloor St W,4,"43.6637,-79.400053"
St. George Subway Station,323 Bloor St W,4,"43.6637,-79.400053"
Spadina Station North Entrance,68 Spadina Rd,4,"43.6637,-79.400053"
Queen's Park Subway Station,505 University Ave,4,"43.6637,-79.400053"
,,0,"43.690903,-79.4375028"
,,0,"43.643253094827294,-79.41230469904167"
,,0,"43.6029904,-79.4926867"
,,0,"43.6596299,-79.4799176"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6608333,-79.43166666666667"
Bloor-Danforth Subway Line,,2,"43.6608333,-79.43166666666667"
Lansdowne Subway Station,1287 Bloor St W,2,"43.66083333333333,-79.43583333333333"
Bloor-Danforth Subway Line,,2,"43.66083333333333,-79.43583333333333"
,,0,"43.69933,-79.39199"
,,0,"43.6653032,-79.4701178"
,,0,"43.6162721,-79.4990363"
,,0,"43.720645,-79.355474"
Dundas West Subway Station,1525 Bloor St W,1,"43.6641174,-79.4588522"
,,0,"43.6424558,-79.4296346"
,,0,"43.6954486,-79.4026176"
Coxwell Subway Station,1568 Danforth Ave,1,"43.6850809,-79.3149901"
Donlands Subway Station,990 Danforth Ave,4,"43.6800218,-79.3405681"
Pape Subway Station,743 Pape Ave,4,"43.6800218,-79.3405681"
Greenwood Subway Station,1177 Danforth Ave,4,"43.6800218,-79.3405681"
Chester Subway Station,22 Chester Ave,4,"43.6800218,-79.3405681"
,,0,"43.7842419,-79.1849889"
,,0,"43.6451308,-79.36536439999999"
,,0,"43.6482995,-79.3552533"
St Patrick Subway Station,449 University Ave,5,"43.65637299999999,-79.38781039999999"
Queen's Park Subway Station,505 University Ave,5,"43.65637299999999,-79.38781039999999"
Dundas Subway Station,300 Yonge St,5,"43.65637299999999,-79.38781039999999"
Osgoode SUBWAY Station,250 University Ave,5,"43.65637299999999,-79.38781039999999"
St Patrick Subway Station,147 University Ave,5,"43.65637299999999,-79.38781039999999"
St Patrick Subway Station,449 University Ave,5,"43.657838,-79.38631"
Queen's Park Subway Station,505 University Ave,5,"43.657838,-79.38631"
Dundas Subway Station,300 Yonge St,5,"43.657838,-79.38631"
Osgoode SUBWAY Station,250 University Ave,5,"43.657838,-79.38631"
Wellesley Subway Station,551 Yonge St,5,"43.657838,-79.38631"
,,0,"43.778015,-79.131911"
,,0,"43.672079,-79.470171"
,,0,"43.690237,-79.350119"
,,0,"43.70942,-79.39139"
