name,address,yelp_num_stations,coordinates
Runnymede Station,265 Runnymede Road,2.0,"43.6438036,-79.4770327"
Jane Station,15 Jane Street,2.0,"43.6438036,-79.4770327"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.666051,-79.374161"
Wellesley Subway Station,16 Wellesley Street E,3.0,"43.666051,-79.374161"
Dundas Station,"Toronto, ON M5B 1J3",3.0,"43.666051,-79.374161"
Summerhill Subway Station,16 Shaftesbury Ave,1.0,"43.68871,-79.39264"
TTC York University,120 Ian Macdonald Boulevard,2.0,"43.7696262,-79.5025943"
Pioneer Village Station,2800 Steeles Ave W,2.0,"43.7696262,-79.5025943"
TTC York University,120 Ian Macdonald Boulevard,1.0,"43.7641485,-79.5012809"
TTC York University,120 Ian Macdonald Boulevard,1.0,"43.76521,-79.491281"
