name,address,yelp_num_stations,coordinates
Queen Subway Station,8 Queen Street W,6.0,"43.6458569,-79.3853654"
Queen Station,171 Yonge Street,2.0,"43.658816,-79.367318"
Queen Subway Station,8 Queen Street W,2.0,"43.658816,-79.367318"
Bloor GO Station,1456 Bloor Street W,2.0,"43.654004,-79.444792"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.654004,-79.444792"
Museum Subway Station,75 Queen's Park,5.0,"43.673768,-79.391253"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.673768,-79.391253"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.673768,-79.391253"
Bay Subway Station,1240 Bay Street,5.0,"43.673768,-79.391253"
Summerhill Subway Station,16 Shaftesbury Ave,5.0,"43.673768,-79.391253"
St Patrick Subway Station,449 University Avenue,2.0,"43.654074,-79.398115"
Queen's Park Subway Station,129 College Street,2.0,"43.654074,-79.398115"
Main Street Subway Station,315 Main Street,2.0,"43.684261,-79.299332"
Danforth GO,213 Main Street,2.0,"43.684261,-79.299332"
Danforth GO,213 Main Street,1.0,"43.678685,-79.297974"
Runnymede Station,265 Runnymede Road,3.0,"43.65143,-79.47779"
High Park Subway Station,35 Quebec Avenue,3.0,"43.65143,-79.47779"
Jane Station,15 Jane Street,3.0,"43.65143,-79.47779"
Jane Station,15 Jane Street,3.0,"43.64976,-79.48477"
Old Mill Station,2672 Bloor Street W,3.0,"43.64976,-79.48477"
Runnymede Station,265 Runnymede Road,3.0,"43.64976,-79.48477"
Bloor GO Station,1456 Bloor Street W,2.0,"43.664182,-79.449066"
Keele Subway Station,21 Keele Street,2.0,"43.664182,-79.449066"
Union Station,65 Front Street W,2.0,"43.64407,-79.3929"
VIA Rail Canada,65 Front Street  W,2.0,"43.64407,-79.3929"
Mimico GO Station,"Toronto, ON",1.0,"43.61868,-79.48674"
Union Station,65 Front Street W,5.0,"43.6442,-79.38702"
VIA Rail Canada,65 Front Street  W,5.0,"43.6442,-79.38702"
Queen Station,171 Yonge Street,5.0,"43.6442,-79.38702"
King Station,3 King Street E,5.0,"43.6442,-79.38702"
Queen Subway Station,8 Queen Street W,5.0,"43.6442,-79.38702"
Union Station,65 Front Street W,3.0,"43.64283,-79.38409"
VIA Rail Canada,65 Front Street  W,3.0,"43.64283,-79.38409"
King Station,3 King Street E,3.0,"43.64283,-79.38409"
Runnymede Station,265 Runnymede Road,3.0,"43.65182,-79.47421"
High Park Subway Station,35 Quebec Avenue,3.0,"43.65182,-79.47421"
Jane Station,15 Jane Street,3.0,"43.65182,-79.47421"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.685569,-79.408019"
Union Station,65 Front Street W,5.0,"43.651678,-79.375233"
VIA Rail Canada,65 Front Street  W,5.0,"43.651678,-79.375233"
Queen Station,171 Yonge Street,5.0,"43.651678,-79.375233"
King Station,3 King Street E,5.0,"43.651678,-79.375233"
Queen Subway Station,8 Queen Street W,5.0,"43.651678,-79.375233"
Union Station,65 Front Street W,7.0,"43.651838,-79.378743"
VIA Rail Canada,65 Front Street  W,7.0,"43.651838,-79.378743"
Queen Station,171 Yonge Street,7.0,"43.651838,-79.378743"
St Patrick Subway Station,449 University Avenue,7.0,"43.651838,-79.378743"
King Station,3 King Street E,7.0,"43.651838,-79.378743"
Queen Subway Station,8 Queen Street W,7.0,"43.651838,-79.378743"
Queen's Park Subway Station,129 College Street,7.0,"43.651838,-79.378743"
High Park Subway Station,35 Quebec Avenue,2.0,"43.645653,-79.464366"
Runnymede Station,265 Runnymede Road,2.0,"43.645653,-79.464366"
Museum Subway Station,75 Queen's Park,7.0,"43.665221,-79.394009"
Spadina Subway Station,6 Spadina Road,7.0,"43.665221,-79.394009"
Bloor-Yonge Subway Station,20 Bloor Street E,7.0,"43.665221,-79.394009"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.665221,-79.394009"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.665221,-79.394009"
Bay Subway Station,1240 Bay Street,7.0,"43.665221,-79.394009"
Queen's Park Subway Station,129 College Street,7.0,"43.665221,-79.394009"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.669232,-79.374495"
Wellesley Subway Station,16 Wellesley Street E,3.0,"43.669232,-79.374495"
Dundas Station,"Toronto, ON M5B 1J3",3.0,"43.669232,-79.374495"
Exhibition GO Station,Manitoba Drive,1.0,"43.640075,-79.414156"
Pape Subway Station,743 Pape Avenue,3.0,"43.678285,-79.347346"
Broadview Subway Station,769 Broadview Avenue,3.0,"43.678285,-79.347346"
Chester Station,22 Chester Avenue,3.0,"43.678285,-79.347346"
Main Street Subway Station,315 Main Street,2.0,"43.694826,-79.295208"
Danforth GO,213 Main Street,2.0,"43.694826,-79.295208"
Greenwood Yard,400 Greenwood Avenue,1.0,"43.673118,-79.318651"
Main Street Subway Station,315 Main Street,2.0,"43.689293,-79.295895"
Danforth GO,213 Main Street,2.0,"43.689293,-79.295895"
High Park Subway Station,35 Quebec Avenue,2.0,"43.66073,-79.47149"
Keele Subway Station,21 Keele Street,2.0,"43.66073,-79.47149"
Exhibition GO Station,Manitoba Drive,1.0,"43.63121,-79.41414"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.66189,-79.42679"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.66189,-79.42679"
High Park Subway Station,35 Quebec Avenue,3.0,"43.65389,-79.4675"
Keele Subway Station,21 Keele Street,3.0,"43.65389,-79.4675"
Runnymede Station,265 Runnymede Road,3.0,"43.65389,-79.4675"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.68114,-79.4277"
Greenwood Yard,400 Greenwood Avenue,1.0,"43.669813,-79.3335"
Exhibition GO Station,Manitoba Drive,1.0,"43.638426,-79.429142"
