name,address,rating,total_photos,total_ratings,num_of_res,coordinates
Lloyd's,1298 Queen St E,,0.0,0.0,41.0,"43.6592088,-79.3348396"
Golden Pizza,1201 Broadview Ave,7.4,14.0,8.0,35.0,"43.689211,-79.35438"
Danish Pastry Shop,1017 Pape Ave,7.7,42.0,14.0,35.0,"43.689211,-79.35438"
The Greek Grill,128 O'Connor Dr,7.3,36.0,34.0,35.0,"43.689211,-79.35438"
The O'Connor Station,158 O'Connor Dr,7.1,6.0,10.0,35.0,"43.689211,-79.35438"
Goat Coffee Co,893 Pape Ave,7.2,32.0,36.0,35.0,"43.689211,-79.35438"
Subway,1016 1/2 Pape Ave,6.7,1.0,5.0,35.0,"43.689211,-79.35438"
Tzatziki,873 Pape Ave,6.7,15.0,23.0,35.0,"43.689211,-79.35438"
Number One Chinese Restaurant,862 Pape Ave,6.3,5.0,8.0,35.0,"43.689211,-79.35438"
Burger King,1068 Pape Ave,5.9,0.0,0.0,35.0,"43.689211,-79.35438"
Ho Ho BBQ,3833 Midland Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
KFC,891 Pape Ave,5.9,1.0,5.0,35.0,"43.689211,-79.35438"
Phyllo Cafe,1028 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
East York Restaurant,1039 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Pho Challenge,1025 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Shawarma Frenzy,1011 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
El Greco corner,968 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Magdello's Ultimate Grill,439 University Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Big Jack's Burger Shops,8384 Woodbine Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Pape Village,942 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
La Grotta Pizzeria,951 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Burgers N' Fries,940 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Kings Drive in,919 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
McDonald's,1045 Pape Ave,5.0,21.0,52.0,35.0,"43.689211,-79.35438"
Gianni's Pasta + Italian Sandwiches,877 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
The Chocolate Pizza Shoppe,20 Gamble Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
El Greco,160 Floyd Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Pape Village Coffee,925 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
King's Park Souvlaki Place,919 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Cosmos Cafe,860 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Steady's,852 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Kasantra Coffee Shop,850 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
The Fifteen Group Inc,1349 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Macchiato Espresso Bar,873 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Omonia Coffee Shop,850 Pape Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Esto Cafe,958 Broadview Ave,,0.0,0.0,35.0,"43.689211,-79.35438"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,50.0,"43.655431,-79.380653"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,50.0,"43.655431,-79.380653"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,50.0,"43.655431,-79.380653"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,50.0,"43.655431,-79.380653"
Salad King,340 Yonge St,8.1,513.0,732.0,50.0,"43.655431,-79.380653"
The 3 Brewers,275 Yonge St,7.7,657.0,613.0,50.0,"43.655431,-79.380653"
JOEY Eaton Centre,1 Dundas St W,7.8,574.0,571.0,50.0,"43.655431,-79.380653"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,50.0,"43.655431,-79.380653"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,50.0,"43.655431,-79.380653"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,50.0,"43.655431,-79.380653"
GB Hand-Pulled Noodles,66 Edward St,8.0,37.0,51.0,50.0,"43.655431,-79.380653"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,50.0,"43.655431,-79.380653"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,50.0,"43.655431,-79.380653"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,50.0,"43.655431,-79.380653"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,50.0,"43.655431,-79.380653"
Terroni,57A Adelaide St E,8.6,375.0,402.0,50.0,"43.655431,-79.380653"
Leña Restaurante,176 Yonge St,8.1,98.0,108.0,50.0,"43.655431,-79.380653"
Cactus Club Cafe,77 Adelaide St W,8.5,178.0,283.0,50.0,"43.655431,-79.380653"
HotBlack Coffee,245 Queen St W,9.0,67.0,169.0,50.0,"43.655431,-79.380653"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,50.0,"43.655431,-79.380653"
The George Street Diner,129 George St,8.7,168.0,173.0,50.0,"43.655431,-79.380653"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,50.0,"43.655431,-79.380653"
Cafe Landwer,165 University Ave,8.7,90.0,76.0,50.0,"43.655431,-79.380653"
CRAFT Beer Market Toronto,1 Adelaide St E,8.3,298.0,118.0,50.0,"43.655431,-79.380653"
Jack Astor's,10 Dundas St E,7.4,589.0,437.0,50.0,"43.655431,-79.380653"
Sunset Grill,1 Richmond St W,7.9,82.0,128.0,50.0,"43.655431,-79.380653"
Walrus Pub & Beer Hall,187 Bay St,8.7,53.0,54.0,50.0,"43.655431,-79.380653"
Sukho Thai,52 Wellington St E,8.7,193.0,312.0,50.0,"43.655431,-79.380653"
Hair of the Dog,425 Church St,8.5,257.0,271.0,50.0,"43.655431,-79.380653"
Versus Coffee,70 Adelaide St E,8.1,36.0,55.0,50.0,"43.655431,-79.380653"
Gallery Sushi,275 Dundas St W,8.4,25.0,17.0,50.0,"43.655431,-79.380653"
Kyoto Katsugyu,134 Dundas St E,7.7,24.0,10.0,50.0,"43.655431,-79.380653"
King Taps,100 King St W,8.2,121.0,90.0,50.0,"43.655431,-79.380653"
Copacabana Brazilian Steakhouse Adelaide,230 Adelaide St W,8.6,91.0,214.0,50.0,"43.655431,-79.380653"
Ikkousha Ramen,249 Queen St W,8.4,47.0,24.0,50.0,"43.655431,-79.380653"
Mercatto,101 College St,8.2,46.0,82.0,50.0,"43.655431,-79.380653"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,50.0,"43.655431,-79.380653"
C'est What,67 Front St E,8.3,1182.0,456.0,50.0,"43.655431,-79.380653"
Queen St Warehouse,232 Queen St W,8.2,85.0,174.0,50.0,"43.655431,-79.380653"
Earl's Kitchen & Bar,150 King St W,7.9,377.0,437.0,50.0,"43.655431,-79.380653"
Fran's Restaurant,200 Victoria St,7.1,208.0,239.0,50.0,"43.655431,-79.380653"
Cantina Mercatto,20 Wellington St E,7.8,3.0,9.0,50.0,"43.655431,-79.380653"
W Burger Bar,10 College St,7.6,136.0,164.0,50.0,"43.655431,-79.380653"
Imperial Pub,54 Dundas St E,7.0,171.0,202.0,50.0,"43.655431,-79.380653"
Katsuya,66 Gerrard St E,7.2,24.0,23.0,50.0,"43.655431,-79.380653"
Score on King,107 King St E,7.5,16.0,11.0,50.0,"43.655431,-79.380653"
Flatiron & Firkin,49 Wellington St E,7.5,87.0,107.0,50.0,"43.655431,-79.380653"
Fran's Restaurant,20 College St,7.3,268.0,278.0,50.0,"43.655431,-79.380653"
Mast Coffee,68 Shuter St,6.7,16.0,16.0,50.0,"43.655431,-79.380653"
Eggsmart,645 Bay St,6.6,70.0,71.0,50.0,"43.655431,-79.380653"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,50.0,"43.656927,-79.378497"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,50.0,"43.656927,-79.378497"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,50.0,"43.656927,-79.378497"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,50.0,"43.656927,-79.378497"
Five Guys Burgers & Fries,329 Yonge St,8.1,264.0,305.0,50.0,"43.656927,-79.378497"
Salad King,340 Yonge St,8.1,513.0,732.0,50.0,"43.656927,-79.378497"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,50.0,"43.656927,-79.378497"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,50.0,"43.656927,-79.378497"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,50.0,"43.656927,-79.378497"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,50.0,"43.656927,-79.378497"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,50.0,"43.656927,-79.378497"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,50.0,"43.656927,-79.378497"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,50.0,"43.656927,-79.378497"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,50.0,"43.656927,-79.378497"
The George Street Diner,129 George St,8.7,168.0,173.0,50.0,"43.656927,-79.378497"
Kyoto Katsugyu,134 Dundas St E,7.7,24.0,10.0,50.0,"43.656927,-79.378497"
JOEY Eaton Centre,1 Dundas St W,7.8,574.0,571.0,50.0,"43.656927,-79.378497"
GB Hand-Pulled Noodles,66 Edward St,8.0,37.0,51.0,50.0,"43.656927,-79.378497"
Hair of the Dog,425 Church St,8.5,257.0,271.0,50.0,"43.656927,-79.378497"
Terroni,57A Adelaide St E,8.6,375.0,402.0,50.0,"43.656927,-79.378497"
The 3 Brewers,275 Yonge St,7.7,657.0,613.0,50.0,"43.656927,-79.378497"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,50.0,"43.656927,-79.378497"
The Carbon Bar,99 Queen St E,8.1,156.0,218.0,50.0,"43.656927,-79.378497"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,50.0,"43.656927,-79.378497"
Leña Restaurante,176 Yonge St,8.1,98.0,108.0,50.0,"43.656927,-79.378497"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,50.0,"43.656927,-79.378497"
Cactus Club Cafe,77 Adelaide St W,8.5,178.0,283.0,50.0,"43.656927,-79.378497"
Sukho Thai,52 Wellington St E,8.7,193.0,312.0,50.0,"43.656927,-79.378497"
CRAFT Beer Market Toronto,1 Adelaide St E,8.3,298.0,118.0,50.0,"43.656927,-79.378497"
Versus Coffee,70 Adelaide St E,8.1,36.0,55.0,50.0,"43.656927,-79.378497"
Jack Astor's,10 Dundas St E,7.4,589.0,437.0,50.0,"43.656927,-79.378497"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,50.0,"43.656927,-79.378497"
Sunset Grill,1 Richmond St W,7.9,82.0,128.0,50.0,"43.656927,-79.378497"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,50.0,"43.656927,-79.378497"
Mercatto,101 College St,8.2,46.0,82.0,50.0,"43.656927,-79.378497"
Bangkok Garden Restaurant,18 Elm St,7.6,29.0,64.0,50.0,"43.656927,-79.378497"
Woody's,467 Church St,8.1,311.0,263.0,50.0,"43.656927,-79.378497"
King Taps,100 King St W,8.2,121.0,90.0,50.0,"43.656927,-79.378497"
Le Petit Dejeuner,191 King St E,8.0,161.0,308.0,50.0,"43.656927,-79.378497"
Imperial Pub,54 Dundas St E,7.0,171.0,202.0,50.0,"43.656927,-79.378497"
W Burger Bar,10 College St,7.6,136.0,164.0,50.0,"43.656927,-79.378497"
Katsuya,66 Gerrard St E,7.2,24.0,23.0,50.0,"43.656927,-79.378497"
South St. Burger,360 Bay St,7.6,9.0,37.0,50.0,"43.656927,-79.378497"
Cantina Mercatto,20 Wellington St E,7.8,3.0,9.0,50.0,"43.656927,-79.378497"
Fran's Restaurant,200 Victoria St,7.1,208.0,239.0,50.0,"43.656927,-79.378497"
Darvish Restaurant Tempus,508 Yonge St,7.6,32.0,31.0,50.0,"43.656927,-79.378497"
Score on King,107 King St E,7.5,16.0,11.0,50.0,"43.656927,-79.378497"
Fran's Restaurant,20 College St,7.3,268.0,278.0,50.0,"43.656927,-79.378497"
Mast Coffee,68 Shuter St,6.7,16.0,16.0,50.0,"43.656927,-79.378497"
O'Grady's Restaurant,518 Church St,6.9,201.0,193.0,50.0,"43.656927,-79.378497"
Propeller Coffee Co,50 Wade Ave,8.6,120.0,93.0,43.0,"43.661324,-79.449534"
The Gaslight,1426 Bloor St W,8.6,2.0,30.0,43.0,"43.661324,-79.449534"
Cabin Fever Collective,1669 Bloor St W,8.9,49.0,49.0,43.0,"43.661324,-79.449534"
Burdock,1184 Bloor St W,9.1,182.0,95.0,43.0,"43.661324,-79.449534"
The 3 Speed,1163 Bloor St W,9.0,110.0,150.0,43.0,"43.661324,-79.449534"
Bandit Brewery,2125 Dundas St W,8.6,316.0,113.0,43.0,"43.661324,-79.449534"
Whelan's Gate Irish Pub,1663 Bloor St W,8.2,8.0,20.0,43.0,"43.661324,-79.449534"
Donna’s,827 Lansdowne Ave,7.5,9.0,11.0,43.0,"43.661324,-79.449534"
Boo Radleys Junction Bar N Gri,1482 Dupont Ave,7.5,31.0,45.0,43.0,"43.661324,-79.449534"
Henderson Brewing Co,128A Sterling Rd,7.8,131.0,55.0,43.0,"43.661324,-79.449534"
Grey Tiger,1190 Bloor St W,7.9,5.0,15.0,43.0,"43.661324,-79.449534"
Halo Brewery,247 Wallace Ave,7.1,125.0,52.0,43.0,"43.661324,-79.449534"
Seoul Shakers,1241 Bloor St W,7.6,6.0,18.0,43.0,"43.661324,-79.449534"
King Slice,1598 Bloor St W,7.4,23.0,59.0,43.0,"43.661324,-79.449534"
Ali Baba's Middle Eastern Cuisine,2202 Dundas St W,7.1,5.0,22.0,43.0,"43.661324,-79.449534"
Peppers Cafe,189 Wallace Ave,6.0,16.0,10.0,43.0,"43.661324,-79.449534"
Tim Hortons,1728 Bloor St W,6.1,23.0,43.0,43.0,"43.661324,-79.449534"
Kibo Sushi House,1415 Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Thai Nyyom,1419 Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Alma + Gill,1534 Dupont St,,0.0,0.0,43.0,"43.661324,-79.449534"
Colombian Street Food,1565 Dupont St,,0.0,0.0,43.0,"43.661324,-79.449534"
Janer's Bakery,679 Lansdowne Ave,,0.0,0.0,43.0,"43.661324,-79.449534"
Penny's,1306 Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Conzo’s Pizza,279 Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Galaxy T&T Fresh Fruit & Vegetable,1227A Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Juniors Pizzeria,2243 Dundas St W,,0.0,0.0,43.0,"43.661324,-79.449534"
AM Coffee Studio,2233 Dundas St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Monte Bianco Italian Cuisine,1201 Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
The End,1661 Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Westown Chinese Food,2710 Dundas St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Musoshin Ramen,9 Boustead Ave,,0.0,0.0,43.0,"43.661324,-79.449534"
Century Park Tavern,33 Powerhouse St,,0.0,0.0,43.0,"43.661324,-79.449534"
Mavros Foods & Distributors,182C Saint Helens Ave,,0.0,0.0,43.0,"43.661324,-79.449534"
The Plant Yyz,2745 Dundas St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Pizza Pizza,1193 Bloor St W,5.0,5.0,17.0,43.0,"43.661324,-79.449534"
Primetime Sports Cafe,1531 Dupont St,,0.0,0.0,43.0,"43.661324,-79.449534"
Dupont BBQ Chicken,1546 Dupont St,,0.0,0.0,43.0,"43.661324,-79.449534"
Roll & Bowl,685 Lansdowne Ave,,0.0,0.0,43.0,"43.661324,-79.449534"
Wing Machine,1308 Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Pizza Del Arte,2243 Dundas St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Foundry Avenue,12 Foundry Ave,,0.0,0.0,43.0,"43.661324,-79.449534"
Canadian Pizza Bakery,2210 Dundas St W,,0.0,0.0,43.0,"43.661324,-79.449534"
The Thai Cuisine,1675 Bloor St W,,0.0,0.0,43.0,"43.661324,-79.449534"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,50.0,"43.658295,-79.372346"
Zakkushi,193 Carlton St,8.8,234.0,165.0,50.0,"43.658295,-79.372346"
The George Street Diner,129 George St,8.7,168.0,173.0,50.0,"43.658295,-79.372346"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,50.0,"43.658295,-79.372346"
House on Parliament,454 Parliament St,8.9,220.0,279.0,50.0,"43.658295,-79.372346"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,50.0,"43.658295,-79.372346"
Jazz Bistro,251 Victoria St,8.5,64.0,36.0,50.0,"43.658295,-79.372346"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,50.0,"43.658295,-79.372346"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,50.0,"43.658295,-79.372346"
Chew Chew's Diner,186 Carlton St,8.3,24.0,61.0,50.0,"43.658295,-79.372346"
Neo Coffee Bar,161 Frederick St,9.0,229.0,213.0,50.0,"43.658295,-79.372346"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,50.0,"43.658295,-79.372346"
Hair of the Dog,425 Church St,8.5,257.0,271.0,50.0,"43.658295,-79.372346"
Triple a Bar,138 Adelaide St E,8.3,108.0,156.0,50.0,"43.658295,-79.372346"
Roselle Desserts,362 King St E,8.9,45.0,61.0,50.0,"43.658295,-79.372346"
The Carbon Bar,99 Queen St E,8.1,156.0,218.0,50.0,"43.658295,-79.372346"
Terroni,57A Adelaide St E,8.6,375.0,402.0,50.0,"43.658295,-79.372346"
Figs Breakfast & Lunch,344 Queen St E,8.2,42.0,82.0,50.0,"43.658295,-79.372346"
Kyoto Katsugyu,134 Dundas St E,7.7,24.0,10.0,50.0,"43.658295,-79.372346"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,50.0,"43.658295,-79.372346"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,50.0,"43.658295,-79.372346"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,50.0,"43.658295,-79.372346"
Salad King,340 Yonge St,8.1,513.0,732.0,50.0,"43.658295,-79.372346"
Five Guys Burgers & Fries,329 Yonge St,8.1,264.0,305.0,50.0,"43.658295,-79.372346"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,50.0,"43.658295,-79.372346"
Versus Coffee,70 Adelaide St E,8.1,36.0,55.0,50.0,"43.658295,-79.372346"
Le Petit Dejeuner,191 King St E,8.0,161.0,308.0,50.0,"43.658295,-79.372346"
Leña Restaurante,176 Yonge St,8.1,98.0,108.0,50.0,"43.658295,-79.372346"
Red Lobster,20 Dundas St E,8.1,306.0,195.0,50.0,"43.658295,-79.372346"
Woody's,467 Church St,8.1,311.0,263.0,50.0,"43.658295,-79.372346"
GB Hand-Pulled Noodles,66 Edward St,8.0,37.0,51.0,50.0,"43.658295,-79.372346"
JOEY Eaton Centre,1 Dundas St W,7.8,574.0,571.0,50.0,"43.658295,-79.372346"
The 3 Brewers,275 Yonge St,7.7,657.0,613.0,50.0,"43.658295,-79.372346"
Sunset Grill,1 Richmond St W,7.9,82.0,128.0,50.0,"43.658295,-79.372346"
Kaka,655 Bay St,7.7,44.0,16.0,50.0,"43.658295,-79.372346"
Bangkok Garden Restaurant,18 Elm St,7.6,29.0,64.0,50.0,"43.658295,-79.372346"
Jack Astor's,10 Dundas St E,7.4,589.0,437.0,50.0,"43.658295,-79.372346"
Katsuya,66 Gerrard St E,7.2,24.0,23.0,50.0,"43.658295,-79.372346"
W Burger Bar,10 College St,7.6,136.0,164.0,50.0,"43.658295,-79.372346"
Score on King,107 King St E,7.5,16.0,11.0,50.0,"43.658295,-79.372346"
Imperial Pub,54 Dundas St E,7.0,171.0,202.0,50.0,"43.658295,-79.372346"
Jet Fuel Coffee Shop Inc,519 Parliament St,7.2,68.0,109.0,50.0,"43.658295,-79.372346"
Fran's Restaurant,200 Victoria St,7.1,208.0,239.0,50.0,"43.658295,-79.372346"
Mast Coffee,68 Shuter St,6.7,16.0,16.0,50.0,"43.658295,-79.372346"
O'Grady's Restaurant,518 Church St,6.9,201.0,193.0,50.0,"43.658295,-79.372346"
The Jason George,100 Front St E,6.8,90.0,84.0,50.0,"43.658295,-79.372346"
Yonge Street Warehouse,336 Yonge St,6.4,16.0,32.0,50.0,"43.658295,-79.372346"
Eggsmart,645 Bay St,6.6,70.0,71.0,50.0,"43.658295,-79.372346"
St. Louis Bar and Grill,595 Bay St,6.4,78.0,67.0,50.0,"43.658295,-79.372346"
Boston Pizza,401 Yonge St,6.3,11.0,12.0,50.0,"43.658295,-79.372346"
Tim Hortons,2480 Gerrard St E,6.9,7.0,14.0,38.0,"43.6940155,-79.2889842"
Double Sushi Japanese Restaurant,2795 Danforth Ave,6.4,14.0,31.0,38.0,"43.6940155,-79.2889842"
Tim Hortons,3003 Danforth Ave,6.1,1.0,3.0,38.0,"43.6940155,-79.2889842"
Maple Leaf Dairy,2861 Danforth Ave,6.1,8.0,9.0,38.0,"43.6940155,-79.2889842"
Pizza Pizza,2795 Danforth Ave,6.0,6.0,9.0,38.0,"43.6940155,-79.2889842"
Mr.Sub,3040 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Tim Hortons,3075 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Wing Wing Restaurant,3032 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Mr Tastys Drive in,2921 Danforth Ave,5.8,2.0,8.0,38.0,"43.6940155,-79.2889842"
Church's Chicken,3003 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Ghoroa Restaurant,2994 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Subhan Halal Pizza,2970 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Subway,3003 Danforth Ave,5.5,2.0,14.0,38.0,"43.6940155,-79.2889842"
Burger King,3003 Danforth Ave,5.2,26.0,28.0,38.0,"43.6940155,-79.2889842"
Hakka Chopsticks,2940 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Dhaka Biryani House,3315 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
McDonald's,2480 Gerrard St E,5.6,10.0,35.0,38.0,"43.6940155,-79.2889842"
Danforth Roti Shop,2844 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Two Brothers Shawarma,2825 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Chicken'licious,2789 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Kelseys Original Roadhouse,1972 Eglinton Ave E,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Kurdistan Shawarma,2789 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Shola Vegan I Thali,2768 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Osmow's Shawarma,2763 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Camino Bistro,2750 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Gharoa Restaurant,2994 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Wings & Things,3003 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Basil Box,3003 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
MrBeast Burger,3003 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Via Cibo,3003 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
New Kabab House,2928 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Mayettes Fine Foods,3331A Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
411Catering.Com,3331 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Sunshine Restaurant,2879 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
James Black Bear Pub,3276 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Pizza Pizza,2795 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Vips Sushi,9 Byng Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
Simms Restaurant & Lounge,2754 Danforth Ave,,0.0,0.0,38.0,"43.6940155,-79.2889842"
CocoaLatte,671 Saint Clair Ave W,7.9,45.0,64.0,41.0,"43.6809164,-79.4229684"
Queen of Persia,672A St Clair Ave W,7.9,5.0,8.0,41.0,"43.6809164,-79.4229684"
Ferro Bar & Cafe,769 Saint Clair Ave W,8.2,63.0,64.0,41.0,"43.6809164,-79.4229684"
Bar Ape,283 Rushton Rd,7.7,18.0,28.0,41.0,"43.6809164,-79.4229684"
Krave Coffee,781 St Clair Ave W,7.5,9.0,28.0,41.0,"43.6809164,-79.4229684"
Thai Noodle,62 Vaughan Rd,7.1,38.0,14.0,41.0,"43.6809164,-79.4229684"
Albert's Real Jamaican Food,542 Saint Clair Ave W,7.1,33.0,54.0,41.0,"43.6809164,-79.4229684"
Aviv,779 St Clair Ave W,7.1,27.0,17.0,41.0,"43.6809164,-79.4229684"
Sea Witch Fish & Chips,636 Saint Clair Ave W,6.7,12.0,31.0,41.0,"43.6809164,-79.4229684"
Nodo Hillcrest,794 Saint Clair Ave W,6.9,2.0,9.0,41.0,"43.6809164,-79.4229684"
South St. Burger,743 Saint Clair Ave W,6.7,7.0,10.0,41.0,"43.6809164,-79.4229684"
Savera Indian Cuisine,815 St Clair Ave W,6.9,4.0,8.0,41.0,"43.6809164,-79.4229684"
Tenoch,933 Saint Clair Ave W,7.2,28.0,30.0,41.0,"43.6809164,-79.4229684"
Tim Hortons,550 St Clair Ave W,6.3,0.0,1.0,41.0,"43.6809164,-79.4229684"
El Rincon Mexicano Restaurant,653 Saint Clair Ave W,6.2,28.0,32.0,41.0,"43.6809164,-79.4229684"
Subway,507 St Clair Ave W,6.0,4.0,7.0,41.0,"43.6809164,-79.4229684"
Jabs,630 St Clair Ave W,,0.0,0.0,41.0,"43.6809164,-79.4229684"
Toronto Green P Parking,646 St Clair Ave W,,0.0,0.0,41.0,"43.6809164,-79.4229684"
Tacos Moras,547 St Clair Ave W,,0.0,0.0,41.0,"43.6809164,-79.4229684"
Pita and Hummus,537 St Clair Ave W,,0.0,0.0,41.0,"43.6809164,-79.4229684"
McDonald's,710 St Clair Ave W,5.5,25.0,21.0,41.0,"43.6809164,-79.4229684"
Harvey's,509 Saint Clair Ave W,5.6,7.0,13.0,41.0,"43.6809164,-79.4229684"
Bazara Asian Cuisine,118 Ossington,,0.0,0.0,41.0,"43.6809164,-79.4229684"
Kiyo,1384 Bathurst St,,0.0,0.0,41.0,"43.6809164,-79.4229684"
A&W Restaurant,501 Saint Clair Ave W,,0.0,0.0,41.0,"43.6809164,-79.4229684"
Zaza Expresso Bar,775 Saint Clair Ave W,,0.0,0.0,41.0,"43.6809164,-79.4229684"
Tap Works Pub,816 St Clair Ave W,,0.0,0.0,41.0,"43.6809164,-79.4229684"
